ExperimentalSeed,ScenarioID,MaliciousPrefixSize,ActiveRounds,TotalSelectedMalicious,MinPerRound,MaxPerRound,ZeroMaliciousRounds
42,SIGNFLIP_MU0P2,6,5_TO_20,27,0,3,3
42,SIGNFLIP_MU0P4,12,5_TO_20,56,1,6,0
123,SIGNFLIP_MU0P2,6,5_TO_20,29,0,4,1
123,SIGNFLIP_MU0P4,12,5_TO_20,57,1,6,0
456,SIGNFLIP_MU0P2,6,5_TO_20,29,0,3,1
456,SIGNFLIP_MU0P4,12,5_TO_20,59,2,5,0
789,SIGNFLIP_MU0P2,6,5_TO_20,29,1,4,0
789,SIGNFLIP_MU0P4,12,5_TO_20,59,2,6,0
999,SIGNFLIP_MU0P2,6,5_TO_20,29,0,3,1
999,SIGNFLIP_MU0P4,12,5_TO_20,59,2,6,0
