ConfigID,ExperimentalSeed,ClientID,SeedMaterial,SeedSHA256,SeedUInt64
alpha_0p1_seed_123,123,0,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=0,17288F6587F8E32F34F423372921FF786DA101FE34B058BBF4DEAD9E17768E49,1668741328176472879
alpha_0p1_seed_123,123,1,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=1,2D5F6DA18549775F29278C1091B35507E4666EBF67A497ACD328E5133A1357DA,3269452394987616095
alpha_0p1_seed_123,123,2,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=2,64838DC7B3063F8CA2FC22E2920CCED7E336C3F4846875473984F008802990EF,7242788514583429004
alpha_0p1_seed_123,123,3,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=3,182BA24599C580BDC656BC32FD963D1ADB6AA1EFC8D5BA3F5AF59C5F79A6A96F,1741664100725129405
alpha_0p1_seed_123,123,4,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=4,A45BB761F5C66C6A33FF804203C07D57A6E440F2B213CC08049C21C7C3CF66DB,11843261276463983722
alpha_0p1_seed_123,123,5,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=5,ABB54EAAA0710D9050127B1FBC25BE7EEB17282C80A6CE5CB416C00517AA7703,12372882046013476240
alpha_0p1_seed_123,123,6,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=6,899DFFDAB65173A2A75FFED18DA5E5232446F8C739FF20B3B67119222272BC87,9916363269366444962
alpha_0p1_seed_123,123,7,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=7,FCDBE8B01C29DD632C8E609FE4161C8B579F61B9DADF72E4D95B6ABF4A3EAA23,18220412560541867363
alpha_0p1_seed_123,123,8,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=8,FDF64992CB20D70F7F690DC7ACCBCFA970688AF78BBAD3D5555F5576ACB5D83B,18299895030688569103
alpha_0p1_seed_123,123,9,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=9,30B7E65F296E00DD79B77AF1FAAC87DD1BF037A5456AEE660BABFE5D585584C0,3510527730949947613
alpha_0p1_seed_123,123,10,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=10,E096EB56A20A2150F555F6835FCF4083CB1E257DCEB72B7F4260C5A10BE07601,16183381068320743760
alpha_0p1_seed_123,123,11,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=11,A1262D5AB4D70A7E5FBA6ABAA711C7D6875524AEB9DA977C6B22C696DE742FB9,11612018556825700990
alpha_0p1_seed_123,123,12,CICIoT2023_CLIENT_LOCAL_HASH_ORDER_V1|ASSIGNMENT_SET_SHA256=6161DDCA8874F3A079B3D61C19C62A0C1A60389ECFF2B2028E043FFC38B36E98|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|CONFIG_ID=alpha_0p1_seed_123|EXPERIMENTAL_SEED=123|CLIENT_ID=12,E3070021E997A432D932C864D7AA3C89318B36E4771FC64E4D1B6E5FBC3CAF72,16359044317099566130
