ConfigID,ClientID,ParticipationOrdinal,StartInclusive,EndExclusive,Count,ClientCapacity,UnusedAfterSixBlocks
alpha_0p1_seed_123,0,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,0,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,0,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,0,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,0,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,0,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,1,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,1,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,1,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,1,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,1,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,1,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,2,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,2,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,2,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,2,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,2,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,2,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,3,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,3,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,3,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,3,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,3,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,3,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,4,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,4,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,4,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,4,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,4,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,4,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,5,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,5,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,5,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,5,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,5,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,5,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,6,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,6,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,6,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,6,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,6,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,6,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,7,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,7,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,7,2,102400,153600,51200,551661,244461
alpha_0p1_seed_123,7,3,153600,204800,51200,551661,244461
alpha_0p1_seed_123,7,4,204800,256000,51200,551661,244461
alpha_0p1_seed_123,7,5,256000,307200,51200,551661,244461
alpha_0p1_seed_123,8,0,0,51200,51200,551661,244461
alpha_0p1_seed_123,8,1,51200,102400,51200,551661,244461
alpha_0p1_seed_123,8,2,102400,153600,51200,551661,244461
