ExperimentalSeed,Round,ClientID,ParticipationOrdinal,SeedUInt64,TorchManualSeedInt64,ApplicationPoint,DataLoaderShuffle,DataLoaderWorkers
42,1,19,0,3215019551331340152,3215019551331340152,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,15,0,18398400478895145584,9175028442040369777,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,3,0,4406586630395516377,4406586630395516377,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,18,0,2416968233511717121,2416968233511717121,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,12,0,10563430992241412469,1340058955386636662,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,22,0,15526779454510045636,6303407417655269829,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,4,0,3938949768540399923,3938949768540399923,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,13,0,4436759192274247623,4436759192274247623,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,1,8,0,2922237566996500896,2922237566996500896,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,16,0,9121724936108702866,9121724936108702866,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,2,0,16185326139705701521,6961954102850925714,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,28,0,13539790458248796633,4316418421394020826,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,6,0,1024092664286123448,1024092664286123448,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,17,0,14864092975876765985,5640720939021990178,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,1,0,16519332257100206358,7295960220245430551,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,0,0,1029933074168136127,1029933074168136127,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,11,0,10915682834876045139,1692310798021269332,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,2,10,0,7427228930591106894,7427228930591106894,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,14,0,10973374246456075893,1750002209601300086,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,24,0,6598515314541016328,6598515314541016328,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,26,0,10029685655814989025,806313618960213218,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,29,0,492679214454055711,492679214454055711,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,20,0,6756631433568742231,6756631433568742231,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,27,0,12808430273428070344,3585058236573294537,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,5,0,12480452633188944205,3257080596334168398,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,21,0,18026784681053289896,8803412644198514089,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,3,7,0,4728127657039672764,4728127657039672764,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,9,0,7562313303866515652,7562313303866515652,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,23,0,4049158405929108621,4049158405929108621,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,25,0,16080988732798050011,6857616695943274204,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,2,1,11561338647154948148,2337966610300172341,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,0,1,6009257148892680389,6009257148892680389,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,18,1,17581946865592508126,8358574828737732319,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,16,1,14071821141409577300,4848449104554801493,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,11,1,15854627480836055033,6631255443981279226,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,4,17,1,13267171898549691026,4043799861694915219,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,14,1,10299723822802402264,1076351785947626457,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,27,1,17676736798643320812,8453364761788545005,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,10,1,15517865700164511962,6294493663309736155,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,28,1,18391343772965383521,9167971736110607714,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,9,1,1586214547129711342,1586214547129711342,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,7,1,17617070082044875991,8393698045190100184,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,22,1,289354088433693953,289354088433693953,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,21,1,2223520721721157844,2223520721721157844,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,5,23,1,17587649550871761503,8364277514016985696,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,6,12,1,13710864491952879548,4487492455098103741,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,6,26,1,13106043254408138678,3882671217553362871,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,6,24,1,11395555670976245142,2172183634121469335,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
42,6,1,1,6695017828967505385,6695017828967505385,IMMEDIATELY_BEFORE_FIRST_STOCHASTIC_LOCAL_TRAINING_OPERATION,False,0
