ExperimentalSeed,Round,ClientID,ParticipationOrdinal,SeedMaterial,SeedSHA256,SeedUInt64,SharedAcrossAlphaPair,SharedAcrossMethods,SharedAcrossScenarios
42,1,19,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=19|PARTICIPATION_ORDINAL=0,2C9E0B3F7F0A4F7860389EBA7CFE1C2A6CFE2E951ED81684CF7D7C1727BEBB61,3215019551331340152,True,True,True
42,1,15,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=15|PARTICIPATION_ORDINAL=0,FF543FC1B3EC027093D24B01E2556910C933FCFA2F875B4892C3DD05F4A9C411,18398400478895145584,True,True,True
42,1,3,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=3|PARTICIPATION_ORDINAL=0,3D27573178B5D5D961E9BCCE314A56677AAD47BA8E374AF8FCB18E95CCC0AA46,4406586630395516377,True,True,True
42,1,18,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=18|PARTICIPATION_ORDINAL=0,218ACBCD7FDE8901333540439D06FDCF0D984BA8FC7C868801A1342C0FF39B61,2416968233511717121,True,True,True
42,1,12,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=12|PARTICIPATION_ORDINAL=0,9298D8851DE6C975FE4C663D19CB255579D0BC9C50D681CCCF5611683A050A02,10563430992241412469,True,True,True
42,1,22,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=22|PARTICIPATION_ORDINAL=0,D77A33A643E799C4FC6FB00B536FDFD72DFCAACE02EBCEF0EC963B3ADA23646D,15526779454510045636,True,True,True
42,1,4,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=4|PARTICIPATION_ORDINAL=0,36A9F5F1EDF5293363860A4C6A4611C8B66F689FCBB0CE0EE69C606C9FF4FE4F,3938949768540399923,True,True,True
42,1,13,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=13|PARTICIPATION_ORDINAL=0,3D9288FA79749FC7BBF0F8263746CD0292CC5CD5A2CE911C218874EE61484809,4436759192274247623,True,True,True
42,1,8,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=1|CLIENT_ID=8|PARTICIPATION_ORDINAL=0,288DDF95A220D1A0B447A34CE811D1812906FB75D87D471D3CD96F0F0C4066B4,2922237566996500896,True,True,True
42,2,16,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=2|CLIENT_ID=16|PARTICIPATION_ORDINAL=0,7E96E0801B94FC928A0F5C8EA288381DB02A2A0D31C619410ABEE722146A87DC,9121724936108702866,True,True,True
42,2,2,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=2|CLIENT_ID=2|PARTICIPATION_ORDINAL=0,E09DD45EDB00B4919DB135397F79D8F4CF378629B85BAFFDD8B6803AD68AAC08,16185326139705701521,True,True,True
42,2,28,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=2|CLIENT_ID=28|PARTICIPATION_ORDINAL=0,BBE6FFAF552499D9EC64A1EB9760C990BBA4A5869BC4607310CFA0BEFAD5DFE2,13539790458248796633,True,True,True
42,2,6,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=2|CLIENT_ID=6|PARTICIPATION_ORDINAL=0,0E364EDA2FDB95B834B8216B03962931C963E146A1498637977120F6DAE137FB,1024092664286123448,True,True,True
42,2,17,0,CICIoT2023_LOCAL_TRAIN_RNG_V1|PREATTACK_IDENTITY_SHA256=81057E395366BA10088F4455897446945556325756CA18BBF39B5F5A6A1198E2|EXPERIMENTAL_SEED=42|ROUND=2|CLIENT_ID=17|PARTICIPATION_ORDINAL=0,CE47DDCEE7837921858ECA5B8E24197190FCFC4E379AE2D839B6163908FD802B,14864092975876765985,True,True,True
