ConfigID,ExperimentalSeed,MethodID,ScenarioID,MainCampaign
alpha_0p1_seed_123,123,FEDAVG,CLEAN,True
alpha_0p1_seed_123,123,FEDAVG,SIGNFLIP_MU0P2,True
alpha_0p1_seed_123,123,FEDAVG,SIGNFLIP_MU0P4,True
alpha_0p1_seed_123,123,FEDPROX,CLEAN,True
alpha_0p1_seed_123,123,FEDPROX,SIGNFLIP_MU0P2,True
alpha_0p1_seed_123,123,FEDPROX,SIGNFLIP_MU0P4,True
alpha_0p1_seed_123,123,RANDOM_TRIMMED_MEAN,CLEAN,True
alpha_0p1_seed_123,123,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,True
alpha_0p1_seed_123,123,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,True
alpha_0p1_seed_123,123,FEDLE_ADAPTED,CLEAN,True
alpha_0p1_seed_123,123,FEDLE_ADAPTED,SIGNFLIP_MU0P2,True
alpha_0p1_seed_123,123,FEDLE_ADAPTED,SIGNFLIP_MU0P4,True
alpha_0p1_seed_123,123,TEA_FL,CLEAN,True
alpha_0p1_seed_123,123,TEA_FL,SIGNFLIP_MU0P2,True
alpha_0p1_seed_123,123,TEA_FL,SIGNFLIP_MU0P4,True
alpha_0p1_seed_123,123,ARL_FL,CLEAN,True
alpha_0p1_seed_123,123,ARL_FL,SIGNFLIP_MU0P2,True
alpha_0p1_seed_123,123,ARL_FL,SIGNFLIP_MU0P4,True
alpha_0p1_seed_42,42,FEDAVG,CLEAN,True
alpha_0p1_seed_42,42,FEDAVG,SIGNFLIP_MU0P2,True
alpha_0p1_seed_42,42,FEDAVG,SIGNFLIP_MU0P4,True
alpha_0p1_seed_42,42,FEDPROX,CLEAN,True
alpha_0p1_seed_42,42,FEDPROX,SIGNFLIP_MU0P2,True
alpha_0p1_seed_42,42,FEDPROX,SIGNFLIP_MU0P4,True
alpha_0p1_seed_42,42,RANDOM_TRIMMED_MEAN,CLEAN,True
alpha_0p1_seed_42,42,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,True
alpha_0p1_seed_42,42,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,True
alpha_0p1_seed_42,42,FEDLE_ADAPTED,CLEAN,True
alpha_0p1_seed_42,42,FEDLE_ADAPTED,SIGNFLIP_MU0P2,True
alpha_0p1_seed_42,42,FEDLE_ADAPTED,SIGNFLIP_MU0P4,True
alpha_0p1_seed_42,42,TEA_FL,CLEAN,True
alpha_0p1_seed_42,42,TEA_FL,SIGNFLIP_MU0P2,True
alpha_0p1_seed_42,42,TEA_FL,SIGNFLIP_MU0P4,True
alpha_0p1_seed_42,42,ARL_FL,CLEAN,True
alpha_0p1_seed_42,42,ARL_FL,SIGNFLIP_MU0P2,True
alpha_0p1_seed_42,42,ARL_FL,SIGNFLIP_MU0P4,True
alpha_0p1_seed_456,456,FEDAVG,CLEAN,True
alpha_0p1_seed_456,456,FEDAVG,SIGNFLIP_MU0P2,True
alpha_0p1_seed_456,456,FEDAVG,SIGNFLIP_MU0P4,True
alpha_0p1_seed_456,456,FEDPROX,CLEAN,True
alpha_0p1_seed_456,456,FEDPROX,SIGNFLIP_MU0P2,True
alpha_0p1_seed_456,456,FEDPROX,SIGNFLIP_MU0P4,True
alpha_0p1_seed_456,456,RANDOM_TRIMMED_MEAN,CLEAN,True
alpha_0p1_seed_456,456,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,True
alpha_0p1_seed_456,456,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,True
alpha_0p1_seed_456,456,FEDLE_ADAPTED,CLEAN,True
alpha_0p1_seed_456,456,FEDLE_ADAPTED,SIGNFLIP_MU0P2,True
alpha_0p1_seed_456,456,FEDLE_ADAPTED,SIGNFLIP_MU0P4,True
alpha_0p1_seed_456,456,TEA_FL,CLEAN,True
alpha_0p1_seed_456,456,TEA_FL,SIGNFLIP_MU0P2,True
alpha_0p1_seed_456,456,TEA_FL,SIGNFLIP_MU0P4,True
alpha_0p1_seed_456,456,ARL_FL,CLEAN,True
alpha_0p1_seed_456,456,ARL_FL,SIGNFLIP_MU0P2,True
alpha_0p1_seed_456,456,ARL_FL,SIGNFLIP_MU0P4,True
alpha_0p1_seed_789,789,FEDAVG,CLEAN,True
alpha_0p1_seed_789,789,FEDAVG,SIGNFLIP_MU0P2,True
alpha_0p1_seed_789,789,FEDAVG,SIGNFLIP_MU0P4,True
alpha_0p1_seed_789,789,FEDPROX,CLEAN,True
alpha_0p1_seed_789,789,FEDPROX,SIGNFLIP_MU0P2,True
alpha_0p1_seed_789,789,FEDPROX,SIGNFLIP_MU0P4,True
alpha_0p1_seed_789,789,RANDOM_TRIMMED_MEAN,CLEAN,True
alpha_0p1_seed_789,789,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,True
alpha_0p1_seed_789,789,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,True
alpha_0p1_seed_789,789,FEDLE_ADAPTED,CLEAN,True
