ExperimentalSeed,Round,Slot,ClientID,ExecutionOrderRule
42,1,1,19,SLOT_ASCENDING
42,1,2,15,SLOT_ASCENDING
42,1,3,3,SLOT_ASCENDING
42,1,4,18,SLOT_ASCENDING
42,1,5,12,SLOT_ASCENDING
42,1,6,22,SLOT_ASCENDING
42,1,7,4,SLOT_ASCENDING
42,1,8,13,SLOT_ASCENDING
42,1,9,8,SLOT_ASCENDING
42,2,1,16,SLOT_ASCENDING
42,2,2,2,SLOT_ASCENDING
42,2,3,28,SLOT_ASCENDING
42,2,4,6,SLOT_ASCENDING
42,2,5,17,SLOT_ASCENDING
42,2,6,1,SLOT_ASCENDING
42,2,7,0,SLOT_ASCENDING
42,2,8,11,SLOT_ASCENDING
42,2,9,10,SLOT_ASCENDING
42,3,1,14,SLOT_ASCENDING
42,3,2,24,SLOT_ASCENDING
42,3,3,26,SLOT_ASCENDING
42,3,4,29,SLOT_ASCENDING
42,3,5,20,SLOT_ASCENDING
42,3,6,27,SLOT_ASCENDING
42,3,7,5,SLOT_ASCENDING
42,3,8,21,SLOT_ASCENDING
42,3,9,7,SLOT_ASCENDING
42,4,1,9,SLOT_ASCENDING
42,4,2,23,SLOT_ASCENDING
42,4,3,25,SLOT_ASCENDING
42,4,4,2,SLOT_ASCENDING
42,4,5,0,SLOT_ASCENDING
42,4,6,18,SLOT_ASCENDING
42,4,7,16,SLOT_ASCENDING
42,4,8,11,SLOT_ASCENDING
42,4,9,17,SLOT_ASCENDING
42,5,1,14,SLOT_ASCENDING
42,5,2,27,SLOT_ASCENDING
42,5,3,10,SLOT_ASCENDING
42,5,4,28,SLOT_ASCENDING
42,5,5,9,SLOT_ASCENDING
42,5,6,7,SLOT_ASCENDING
42,5,7,22,SLOT_ASCENDING
42,5,8,21,SLOT_ASCENDING
42,5,9,23,SLOT_ASCENDING
42,6,1,12,SLOT_ASCENDING
42,6,2,26,SLOT_ASCENDING
42,6,3,24,SLOT_ASCENDING
42,6,4,1,SLOT_ASCENDING
42,6,5,13,SLOT_ASCENDING
42,6,6,3,SLOT_ASCENDING
42,6,7,20,SLOT_ASCENDING
42,6,8,29,SLOT_ASCENDING
42,6,9,19,SLOT_ASCENDING
42,7,1,8,SLOT_ASCENDING
42,7,2,6,SLOT_ASCENDING
