ConfigID,Alpha,ExperimentalSeed,DerivedRNGSeedSHA256,DerivedRNGSeedUInt64,IPFIterations,IPFMaxRowError,IPFMaxColumnError,ResidualIntegerisationUnits,MatrixContentHashID,MatrixContentSHA256,FrozenFileName,FrozenFileSHA256,ExactClassTotals,ExactClientCapacities,NegativeCounts
alpha_0p1_seed_42,0.1,42,B4AA5C189573A4E2C9F6A11DF05F16C2F281D5A0042997DC447D7DAC4A5C9383,13018318933524194530,379,1.86264514923e-09,9.74396243691e-07,52,INT64_C_ORDER_7X30_SHA256_V1,561ED9A36DB44ADD4D987ADFF62A59128811D9CBB9E7DBD380FEA1880708B3A3,alpha_0p1_seed_42_FROZEN_COUNT_PLAN_V2.csv,E48C89DA1297D0BA2A5AF423D343D258353CC42714A51D2527CE761226EEBC9D,True,True,0
alpha_0p1_seed_123,0.1,123,59D0E22537970887D6D7BCABA2B4CFF11318D1314E30184D31B226388E2F9DD3,6471921314005715079,216,1.86264514923e-09,9.10134986043e-07,58,INT64_C_ORDER_7X30_SHA256_V1,23DF5941B7F7E5F37D9F7AD0B920709A543EF5BE72FB9FA56F055C25B1AA4C1F,alpha_0p1_seed_123_FROZEN_COUNT_PLAN_V2.csv,AB37D41AD70F370C3D218D6CC77217617CD4509BF1F07BAF259A82E0CFE0305C,True,True,0
alpha_0p1_seed_456,0.1,456,801E345354FB5095EDBEA191983423C2B09467276C7259EBA86DF78479985E92,9231873818668781717,266,3.72529029846e-09,9.48901288211e-07,43,INT64_C_ORDER_7X30_SHA256_V1,CE7627BF4874758EE85EBC9DF9544F9C8D1D0C393FD2E6B73D10759BF5F3CE75,alpha_0p1_seed_456_FROZEN_COUNT_PLAN_V2.csv,5397BB8F0D41579838111539FBB149BCA40245FDD86080E1C5BBF399B398DA7E,True,True,0
alpha_0p1_seed_789,0.1,789,91E7F797892D1929A63416112582239D9113F2B78F0F911B34FBC5C579DB1BB4,10513644085333268777,90,2.32830643654e-10,9.06642526388e-07,57,INT64_C_ORDER_7X30_SHA256_V1,41B4DC6FCB5CD8E833A7874DE3AC7F54FC0FA68D082D9C9D53DE7A1CE985E5C2,alpha_0p1_seed_789_FROZEN_COUNT_PLAN_V2.csv,0FF1C9F83615E65819A791F797E19EDD3AF4AEDC7F0322EAECE0557258243AAB,True,True,0
alpha_0p1_seed_999,0.1,999,BF6CFD176414EF00712092CC929EBDB7F2E60F0D0D1F181C02261C9E0F8B7630,13793678035634155264,377,1.86264514923e-09,9.99076291919e-07,58,INT64_C_ORDER_7X30_SHA256_V1,C5A9A2867FA044B406DA661CC489410B39B4D1FB809CD0960FFB3EA874C1841E,alpha_0p1_seed_999_FROZEN_COUNT_PLAN_V2.csv,0C5C705607927DA85084733F8C7B25803BAF4B4166A9944C0A5B41BBE0C91ABB,True,True,0
alpha_1p0_seed_42,1.0,42,DF459E03DF743D1404232D1A60D9528316C52B86E1C71C7D55C67FA9466483F6,16088438983321992468,20,1.86264514923e-09,4.45637851954e-07,103,INT64_C_ORDER_7X30_SHA256_V1,B419D4A8B75082BDF7C1ED7BFFFE30F4A292D50CC8E6561ECBF28E5C95E72D51,alpha_1p0_seed_42_FROZEN_COUNT_PLAN_V2.csv,A71034A3258A5AEE3C81698DA5CB019F5225177BFA1A892D5E60F3E6F4CDF8AA,True,True,0
alpha_1p0_seed_123,1.0,123,338B45005112E3A2AC353BC68513597CC972B392E3237CFF7D4D3DFBCA3A420E,3714138185359614882,23,1.86264514923e-09,5.68805262446e-07,104,INT64_C_ORDER_7X30_SHA256_V1,1B3063AABB221FB5E0711C0B5B89A52C9607055C319185DBB11ED11EDE2D6BBC,alpha_1p0_seed_123_FROZEN_COUNT_PLAN_V2.csv,1D50B5E4787A90897E6EB2D10996371B6383059FFAC83A41B0C9DED3BFA924F6,True,True,0
alpha_1p0_seed_456,1.0,456,A07A45C76E28F2474EA97640D4846DC52801B8466176C9DD259E0CFD4643F668,11563631716076155463,18,2.32830643654e-10,7.23754055798e-07,103,INT64_C_ORDER_7X30_SHA256_V1,A67A9EE08B877AEF39C610FCF59084C103A5A50010E57FC094E966D9EC723BD0,alpha_1p0_seed_456_FROZEN_COUNT_PLAN_V2.csv,CF7B1D497C5CCD4E91208E6D554A261A2927C71375D0D23F97A32CA95243B2B3,True,True,0
alpha_1p0_seed_789,1.0,789,60A81AB29989D6E121B3B1FD6D7EE8DF36F19EBB40340A7CC4624C906B7BB9F0,6964846178110920417,23,5.58793544769e-09,3.64030711353e-07,101,INT64_C_ORDER_7X30_SHA256_V1,85944F1E723143F193170896147569D70D38298F95E8C1C2205458C9358BFF1C,alpha_1p0_seed_789_FROZEN_COUNT_PLAN_V2.csv,48B57C9EF03ADDECE6F1DB26998A2BC46E54ECF204209615029F65253CEF75B9,True,True,0
alpha_1p0_seed_999,1.0,999,0C25C93D9B14AD9D26EF733C45D79E00D5A02CB8468F43333F0A6B1A48A4DE81,875326969025441181,18,1.86264514923e-09,9.53208655119e-07,105,INT64_C_ORDER_7X30_SHA256_V1,4F2204C5F09D2E9CF3ED38D06E7D1DD499EC23676BEE7C3417AD2D8382D1BCB9,alpha_1p0_seed_999_FROZEN_COUNT_PLAN_V2.csv,564F7C138D8764FE6BB4559B394A5F2F5D64541F9485DC1F9AA2F5C265515894,True,True,0
