ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,127096,15,33319,320273,10034,60806,118,7,0.580561250478
1,551661,28404,149,490916,13987,8291,9409,505,7,0.889887086453
2,551661,608,69,455978,63431,30424,967,184,7,0.826554713855
3,551661,63961,453,271878,158366,10079,41754,5170,7,0.492835273837
4,551661,302,122,361321,175326,10678,3682,230,7,0.654969265545
5,551661,3973,85,471311,57471,17250,730,841,7,0.854348957059
6,551661,1654,32,542500,1648,5607,184,36,7,0.983393787127
7,551661,616,24,484469,42301,24038,175,38,7,0.878200561577
8,551661,10427,56,494899,30875,10126,5264,14,7,0.897107100194
9,551661,4197,10,500533,36785,8937,1184,15,7,0.907319893920
10,551661,18088,127,511053,15074,4368,2717,234,7,0.926389576207
11,551661,10317,43,528268,1915,10823,290,5,7,0.957595334816
12,551661,5234,84,542028,2079,1272,676,288,7,0.982538189214
13,551661,130508,1660,225109,151785,8436,33857,306,7,0.408056759495
14,551661,386,477,503896,25280,10175,10126,1321,7,0.913416029047
15,551661,18876,533,441459,44484,12420,33255,634,7,0.800236014509
16,551661,66,28,470590,66303,9742,4922,10,7,0.853041994993
17,551661,11993,112,511744,22116,4094,1443,159,7,0.927642157049
18,551661,11922,220,534303,575,2317,2020,304,7,0.968535024227
19,551661,131,38,525518,14501,6301,5159,13,7,0.952610389351
20,551661,123609,1020,400878,247,19006,5735,1166,7,0.726674533817
21,551661,10069,695,192487,224571,71079,50438,2322,7,0.407081522892
22,551661,37831,93,474875,17710,6474,14662,16,7,0.860809446381
23,551661,7863,23,539970,1783,277,1737,8,7,0.978807637299
24,551660,51951,65,406060,87228,6065,235,56,7,0.736069318058
25,551660,871,257,432896,102803,11819,1827,1187,7,0.784715223145
26,551660,36687,2113,395310,7413,67848,39426,2863,7,0.716582677736
27,551660,126419,1408,323341,15320,83739,502,931,7,0.586123699380
28,551660,23005,101,241822,246552,15394,24545,241,7,0.446927455317
29,551660,7198,324,464524,15491,58651,4999,473,7,0.842047638038
