MethodID,Role,CallableName,ResolutionScope,ResolvedPath,ResolvedSHA256,CallableSignature,StartLine,EndLine,ExecutionDisposition
FEDAVG,LOCAL_TRAINING,train_one_client,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\FEDAVG__17_validate_pamap2_fedavg_clean_30rounds.py,95332E09ABDA97ADE0D05F7C111C52B76C29E25668A33A1227F15D57AF1FE773,"train_one_client(global_state, x_client, y_client, client_id, local_seed, device)",425,513,COMMON_GATE83_LOCAL_TRAINING_SOURCE_SEMANTICS_REFERENCE_ONLY
FEDAVG,SERVER_AGGREGATION,fedavg_weighted_state,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\FEDAVG__17_validate_pamap2_fedavg_clean_30rounds.py,95332E09ABDA97ADE0D05F7C111C52B76C29E25668A33A1227F15D57AF1FE773,"fedavg_weighted_state(global_state, local_results)",516,545,EXECUTE
FEDPROX,LOCAL_TRAINING,train_one_client_method,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\FEDPROX__18_smoke_pamap2_fedprox_trimmed_mean.py,D212E3F3FE2DA344401059294151D5FCA3925DCB8CB39D58ECAE0E7A90E7F1FB,"train_one_client_method(base, method, global_state, x_client, y_client, client_id, local_seed, device)",62,175,EXECUTE
FEDPROX,SERVER_AGGREGATION,fedavg_weighted_state,STATIC_BASE_DEPENDENCY,C:\teste\tets\16_smoke_pamap2_federated_engine.py,E845C32248A65651B6155B34BCC6024878E775C56DB2DB9096FA545AA9B37E53,"fedavg_weighted_state(global_state, local_results)",547,580,EXECUTE
RANDOM_TRIMMED_MEAN,LOCAL_TRAINING,train_one_client_method,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\RANDOM_TRIMMED_MEAN__18_smoke_pamap2_fedprox_trimmed_mean.py,D212E3F3FE2DA344401059294151D5FCA3925DCB8CB39D58ECAE0E7A90E7F1FB,"train_one_client_method(base, method, global_state, x_client, y_client, client_id, local_seed, device)",62,175,COMMON_GATE83_LOCAL_TRAINING_SOURCE_SEMANTICS_REFERENCE_ONLY
RANDOM_TRIMMED_MEAN,SERVER_AGGREGATION,trimmed_mean_state,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\RANDOM_TRIMMED_MEAN__18_smoke_pamap2_fedprox_trimmed_mean.py,D212E3F3FE2DA344401059294151D5FCA3925DCB8CB39D58ECAE0E7A90E7F1FB,"trimmed_mean_state(global_state, local_results)",178,210,EXECUTE
FEDLE_ADAPTED,LOCAL_TRAINING,train_one_client,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\FEDLE_ADAPTED__19b_smoke_pamap2_fedle_adapted_delta.py,180C60755A788C4313D4D29CC33EB362EEDD3D439F9C29D2FEDF0685BCB342C4,"train_one_client(global_state, x_client, y_client, client_id, local_seed, local_epochs, device)",486,575,COMMON_GATE83_LOCAL_TRAINING_SOURCE_SEMANTICS_REFERENCE_ONLY
FEDLE_ADAPTED,SERVER_AGGREGATION,weighted_fedavg_state,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\FEDLE_ADAPTED__19b_smoke_pamap2_fedle_adapted_delta.py,180C60755A788C4313D4D29CC33EB362EEDD3D439F9C29D2FEDF0685BCB342C4,"weighted_fedavg_state(global_state, local_results)",578,603,EXECUTE
TEA_FL,LOCAL_TRAINING,train_one_client,STATIC_BASE_DEPENDENCY,C:\teste\tets\16_smoke_pamap2_federated_engine.py,E845C32248A65651B6155B34BCC6024878E775C56DB2DB9096FA545AA9B37E53,"train_one_client(global_state, x_client, y_client, client_id, local_seed, device)",455,544,COMMON_GATE83_LOCAL_TRAINING_SOURCE_SEMANTICS_REFERENCE_ONLY
TEA_FL,STATE_UPDATE,update_trust_from_round_reference,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\TEA_FL__20_smoke_pamap2_tea_fl.py,CBBE06A207E4B127E45B0EF9B9D0D5E054A0C7C817EE7E9D83F4B045614BC51B,"update_trust_from_round_reference(round_index, selected, local_results, trust)",298,397,EXECUTE
TEA_FL,SERVER_AGGREGATION,tea_weighted_aggregation,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\TEA_FL__20_smoke_pamap2_tea_fl.py,CBBE06A207E4B127E45B0EF9B9D0D5E054A0C7C817EE7E9D83F4B045614BC51B,"tea_weighted_aggregation(global_state, local_results, trust, residual_energy)",404,486,EXECUTE
ARL_FL,LOCAL_TRAINING,train_one_client,STATIC_BASE_DEPENDENCY,C:\teste\tets\16_smoke_pamap2_federated_engine.py,E845C32248A65651B6155B34BCC6024878E775C56DB2DB9096FA545AA9B37E53,"train_one_client(global_state, x_client, y_client, client_id, local_seed, device)",455,544,COMMON_GATE83_LOCAL_TRAINING_SOURCE_SEMANTICS_REFERENCE_ONLY
ARL_FL,STATE_UPDATE,compute_round_risk,FROZEN_PRIMARY_SOURCE,C:\teste\tets\outputs\ciciot2023\six_method_binding_freeze_v1\frozen_primary_source_provenance\ARL_FL__21_smoke_pamap2_arl_fl.py,8533C05AC6EFCB3841127C0ED830CA3C0AB7FFA3691A9F5E311DF416D4B76684,"compute_round_risk(round_index, selected, global_state, local_results, previous_update, risk_state)",528,725,EXECUTE
