ConfigID,Alpha,ExperimentalSeed,ScheduleFamilyKey,MaliciousRankingFamilyKey,PairingPolicyID
alpha_0p1_seed_123,0.1,123,123,123,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_0p1_seed_42,0.1,42,42,42,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_0p1_seed_456,0.1,456,456,456,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_0p1_seed_789,0.1,789,789,789,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_0p1_seed_999,0.1,999,999,999,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_1p0_seed_123,1.0,123,123,123,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_1p0_seed_42,1.0,42,42,42,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_1p0_seed_456,1.0,456,456,456,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_1p0_seed_789,1.0,789,789,789,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
alpha_1p0_seed_999,1.0,999,999,999,SAME_EXPERIMENTAL_SEED_SHARED_ACROSS_ALPHA_0P1_AND_1P0_V1
