ExperimentalSeed,RankPosition,ClientID,InMu0p1Prefix,InMu0p2Prefix,InMu0p4Prefix
42,1,21,True,True,True
42,2,2,True,True,True
42,3,19,True,True,True
42,4,17,False,True,True
42,5,4,False,True,True
42,6,0,False,True,True
42,7,5,False,False,True
42,8,9,False,False,True
42,9,11,False,False,True
42,10,25,False,False,True
42,11,10,False,False,True
42,12,12,False,False,True
42,13,18,False,False,False
42,14,23,False,False,False
42,15,6,False,False,False
42,16,1,False,False,False
42,17,16,False,False,False
42,18,3,False,False,False
42,19,15,False,False,False
42,20,7,False,False,False
42,21,26,False,False,False
42,22,24,False,False,False
42,23,14,False,False,False
42,24,22,False,False,False
42,25,13,False,False,False
42,26,29,False,False,False
42,27,28,False,False,False
42,28,20,False,False,False
42,29,27,False,False,False
42,30,8,False,False,False
123,1,20,True,True,True
123,2,3,True,True,True
123,3,2,True,True,True
123,4,23,False,True,True
123,5,1,False,True,True
123,6,26,False,True,True
123,7,28,False,False,True
123,8,24,False,False,True
123,9,8,False,False,True
123,10,25,False,False,True
123,11,5,False,False,True
123,12,22,False,False,True
123,13,21,False,False,False
123,14,16,False,False,False
123,15,14,False,False,False
123,16,15,False,False,False
123,17,12,False,False,False
123,18,7,False,False,False
123,19,10,False,False,False
123,20,9,False,False,False
123,21,18,False,False,False
123,22,29,False,False,False
123,23,13,False,False,False
123,24,27,False,False,False
123,25,19,False,False,False
123,26,6,False,False,False
123,27,4,False,False,False
123,28,11,False,False,False
123,29,17,False,False,False
123,30,0,False,False,False
456,1,22,True,True,True
456,2,19,True,True,True
456,3,11,True,True,True
456,4,20,False,True,True
456,5,27,False,True,True
456,6,23,False,True,True
456,7,16,False,False,True
456,8,8,False,False,True
456,9,17,False,False,True
456,10,10,False,False,True
456,11,7,False,False,True
456,12,28,False,False,True
456,13,14,False,False,False
456,14,29,False,False,False
456,15,15,False,False,False
456,16,24,False,False,False
456,17,21,False,False,False
456,18,9,False,False,False
456,19,26,False,False,False
456,20,4,False,False,False
456,21,0,False,False,False
456,22,2,False,False,False
456,23,25,False,False,False
456,24,6,False,False,False
456,25,5,False,False,False
456,26,3,False,False,False
456,27,12,False,False,False
456,28,1,False,False,False
456,29,18,False,False,False
456,30,13,False,False,False
789,1,18,True,True,True
789,2,21,True,True,True
789,3,14,True,True,True
789,4,9,False,True,True
789,5,17,False,True,True
789,6,1,False,True,True
789,7,12,False,False,True
789,8,4,False,False,True
789,9,0,False,False,True
789,10,11,False,False,True
789,11,19,False,False,True
789,12,2,False,False,True
789,13,6,False,False,False
789,14,25,False,False,False
789,15,15,False,False,False
789,16,26,False,False,False
789,17,13,False,False,False
789,18,28,False,False,False
789,19,16,False,False,False
789,20,27,False,False,False
789,21,22,False,False,False
789,22,20,False,False,False
789,23,23,False,False,False
789,24,7,False,False,False
789,25,8,False,False,False
789,26,10,False,False,False
789,27,29,False,False,False
789,28,24,False,False,False
789,29,3,False,False,False
789,30,5,False,False,False
999,1,29,True,True,True
999,2,23,True,True,True
999,3,15,True,True,True
999,4,24,False,True,True
999,5,6,False,True,True
999,6,2,False,True,True
999,7,14,False,False,True
999,8,21,False,False,True
999,9,11,False,False,True
999,10,8,False,False,True
999,11,3,False,False,True
999,12,17,False,False,True
999,13,25,False,False,False
999,14,12,False,False,False
999,15,27,False,False,False
999,16,10,False,False,False
999,17,20,False,False,False
999,18,13,False,False,False
999,19,16,False,False,False
999,20,22,False,False,False
999,21,9,False,False,False
999,22,19,False,False,False
999,23,7,False,False,False
999,24,0,False,False,False
999,25,26,False,False,False
999,26,5,False,False,False
999,27,4,False,False,False
999,28,18,False,False,False
999,29,1,False,False,False
999,30,28,False,False,False
