ExperimentalSeed,Round,Slot,ClientID
42,1,1,19
42,1,2,15
42,1,3,3
42,1,4,18
42,1,5,12
42,1,6,22
42,1,7,4
42,1,8,13
42,1,9,8
42,2,1,16
42,2,2,2
42,2,3,28
42,2,4,6
42,2,5,17
42,2,6,1
42,2,7,0
42,2,8,11
42,2,9,10
42,3,1,14
42,3,2,24
42,3,3,26
42,3,4,29
42,3,5,20
42,3,6,27
42,3,7,5
42,3,8,21
42,3,9,7
42,4,1,9
42,4,2,23
42,4,3,25
42,4,4,2
42,4,5,0
42,4,6,18
42,4,7,16
42,4,8,11
42,4,9,17
42,5,1,14
42,5,2,27
42,5,3,10
42,5,4,28
42,5,5,9
42,5,6,7
42,5,7,22
42,5,8,21
42,5,9,23
42,6,1,12
42,6,2,26
42,6,3,24
42,6,4,1
42,6,5,13
42,6,6,3
42,6,7,20
42,6,8,29
42,6,9,19
42,7,1,8
42,7,2,6
42,7,3,4
42,7,4,5
42,7,5,15
42,7,6,25
42,7,7,12
42,7,8,20
42,7,9,0
42,8,1,6
42,8,2,25
42,8,3,28
42,8,4,14
42,8,5,9
42,8,6,17
42,8,7,23
42,8,8,19
42,8,9,24
42,9,1,26
42,9,2,8
42,9,3,4
42,9,4,5
42,9,5,29
42,9,6,22
42,9,7,2
42,9,8,7
42,9,9,3
42,10,1,18
42,10,2,10
42,10,3,27
42,10,4,13
42,10,5,11
42,10,6,16
42,10,7,1
42,10,8,15
42,10,9,21
42,11,1,21
42,11,2,0
42,11,3,6
42,11,4,12
42,11,5,1
42,11,6,25
42,11,7,9
42,11,8,13
42,11,9,24
42,12,1,3
42,12,2,16
42,12,3,18
42,12,4,17
42,12,5,19
42,12,6,23
42,12,7,7
42,12,8,2
42,12,9,29
42,13,1,8
42,13,2,15
42,13,3,20
42,13,4,5
42,13,5,10
42,13,6,14
42,13,7,22
42,13,8,28
42,13,9,27
42,14,1,26
42,14,2,11
42,14,3,4
42,14,4,29
42,14,5,19
42,14,6,2
42,14,7,12
42,14,8,8
42,14,9,14
42,15,1,6
42,15,2,18
42,15,3,9
42,15,4,13
42,15,5,4
42,15,6,21
42,15,7,3
42,15,8,24
42,15,9,0
42,16,1,10
42,16,2,11
42,16,3,16
42,16,4,5
42,16,5,25
42,16,6,17
42,16,7,7
42,16,8,28
42,16,9,27
42,17,1,1
42,17,2,26
42,17,3,22
42,17,4,23
42,17,5,15
42,17,6,20
42,17,7,5
42,17,8,3
42,17,9,24
42,18,1,26
42,18,2,4
42,18,3,17
42,18,4,14
42,18,5,29
42,18,6,28
42,18,7,2
42,18,8,12
42,18,9,13
42,19,1,7
42,19,2,15
42,19,3,20
42,19,4,16
42,19,5,23
42,19,6,27
42,19,7,22
42,19,8,9
42,19,9,1
