ExperimentalSeed,MaliciousFraction,PrefixSize,ReferenceWindow,TotalSelectedMalicious,MinPerRound,MaxPerRound,MeanPerRound,ZeroMaliciousRounds
42,0.1,3,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,14,0,2,0.875000000000,5
42,0.2,6,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,27,0,3,1.687500000000,3
42,0.4,12,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,56,1,6,3.500000000000,0
123,0.1,3,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,14,0,3,0.875000000000,5
123,0.2,6,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,29,0,4,1.812500000000,1
123,0.4,12,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,57,1,6,3.562500000000,0
456,0.1,3,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,14,0,2,0.875000000000,5
456,0.2,6,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,29,0,3,1.812500000000,1
456,0.4,12,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,59,2,5,3.687500000000,0
789,0.1,3,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,14,0,2,0.875000000000,6
789,0.2,6,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,29,1,4,1.812500000000,0
789,0.4,12,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,59,2,6,3.687500000000,0
999,0.1,3,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,15,0,3,0.937500000000,5
999,0.2,6,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,29,0,3,1.812500000000,1
999,0.4,12,ROUNDS_5_TO_20_DIAGNOSTIC_ONLY_ATTACK_NOT_REBOUND,59,2,6,3.687500000000,0
