ConfigID,Alpha,ExperimentalSeed,MatrixContentSHA256,SeedDerivationID,SeedMaterial,SeedSHA256,SeedUInt64,SeedUInt64Derivation
alpha_0p1_seed_123,0.1,123,23DF5941B7F7E5F37D9F7AD0B920709A543EF5BE72FB9FA56F055C25B1AA4C1F,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_0p1_seed_123|MATRIX_CONTENT_SHA256=23DF5941B7F7E5F37D9F7AD0B920709A543EF5BE72FB9FA56F055C25B1AA4C1F,4845C1914BF96130B1300841A8D279D76D7EDA0064295D486554070030EE3075,5207781373912899888,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_0p1_seed_42,0.1,42,561ED9A36DB44ADD4D987ADFF62A59128811D9CBB9E7DBD380FEA1880708B3A3,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_0p1_seed_42|MATRIX_CONTENT_SHA256=561ED9A36DB44ADD4D987ADFF62A59128811D9CBB9E7DBD380FEA1880708B3A3,85D40E8102BEB7FFBA27FB719879D9F652E9EABC2D1A9DAD93327077349D4C9A,9643348649366697983,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_0p1_seed_456,0.1,456,CE7627BF4874758EE85EBC9DF9544F9C8D1D0C393FD2E6B73D10759BF5F3CE75,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_0p1_seed_456|MATRIX_CONTENT_SHA256=CE7627BF4874758EE85EBC9DF9544F9C8D1D0C393FD2E6B73D10759BF5F3CE75,411AA13A621FEF8A202A5A3BCE1251A713334C234A326A5B70472EB9C13BDE0A,4691239233986228106,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_0p1_seed_789,0.1,789,41B4DC6FCB5CD8E833A7874DE3AC7F54FC0FA68D082D9C9D53DE7A1CE985E5C2,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_0p1_seed_789|MATRIX_CONTENT_SHA256=41B4DC6FCB5CD8E833A7874DE3AC7F54FC0FA68D082D9C9D53DE7A1CE985E5C2,3FCFA71EFB2A88BD38B878DAF9A4DD701E4FEF5F330ABF21710DF9B54EB3EF15,4598077496073291965,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_0p1_seed_999,0.1,999,C5A9A2867FA044B406DA661CC489410B39B4D1FB809CD0960FFB3EA874C1841E,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_0p1_seed_999|MATRIX_CONTENT_SHA256=C5A9A2867FA044B406DA661CC489410B39B4D1FB809CD0960FFB3EA874C1841E,654857EC086DD1A50CF4E303561633DB58B0D09F982EFE4A200373EB51C168AB,7298179867419201957,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_1p0_seed_123,1.0,123,1B3063AABB221FB5E0711C0B5B89A52C9607055C319185DBB11ED11EDE2D6BBC,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_1p0_seed_123|MATRIX_CONTENT_SHA256=1B3063AABB221FB5E0711C0B5B89A52C9607055C319185DBB11ED11EDE2D6BBC,F65FFECD961AA155686CBA3CA53C9E1124ABE2A3902B2213CEB9B6BEF75DC874,17753188415057862997,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_1p0_seed_42,1.0,42,B419D4A8B75082BDF7C1ED7BFFFE30F4A292D50CC8E6561ECBF28E5C95E72D51,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_1p0_seed_42|MATRIX_CONTENT_SHA256=B419D4A8B75082BDF7C1ED7BFFFE30F4A292D50CC8E6561ECBF28E5C95E72D51,1BC576645EFBC95C1B2F64179355BFEBCC8A142967BBBA1C9B46F24473EACF5E,2001135782898420060,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_1p0_seed_456,1.0,456,A67A9EE08B877AEF39C610FCF59084C103A5A50010E57FC094E966D9EC723BD0,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_1p0_seed_456|MATRIX_CONTENT_SHA256=A67A9EE08B877AEF39C610FCF59084C103A5A50010E57FC094E966D9EC723BD0,1CF64D88FD22D4C902286F4477D8F8BDA9BCCB2E606799E830F7A1AAE934BBEF,2086940728090612937,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_1p0_seed_789,1.0,789,85944F1E723143F193170896147569D70D38298F95E8C1C2205458C9358BFF1C,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_1p0_seed_789|MATRIX_CONTENT_SHA256=85944F1E723143F193170896147569D70D38298F95E8C1C2205458C9358BFF1C,DA58CA644464A6D0C064FF260A667A668F8966E52FBADC168E2BD5D9A25EF016,15733547830211815120,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
alpha_1p0_seed_999,1.0,999,4F2204C5F09D2E9CF3ED38D06E7D1DD499EC23676BEE7C3417AD2D8382D1BCB9,SHA256_CONFIG_BOUND_PHYSICAL_ASSIGNMENT_ORDER_SEED_V1,CICIoT2023_TASK7_TRANSFORMED_UNIQUE_K30_PHYSICAL_ASSIGNMENT_ORDER_V1|EFFECTIVE_DATASET_SHA256=5708EFE6C08C91CF3637FA8F89F53C4459933F94C7CC0BF819A590CBE9EF8E5D|SPLIT_ASSIGNMENT_SHA256=DBF8B64C451E5DAB7AFA87FE88B5E9FFE6E7436FFAEAAFB66692076A5C16C276|COUNT_PLAN_SET_SHA256=CAD5F8DB2C71CC17614D039E39F792C31F6B1F2C5F8CB3E23EE28FF2BD0BD705|CONFIG_ID=alpha_1p0_seed_999|MATRIX_CONTENT_SHA256=4F2204C5F09D2E9CF3ED38D06E7D1DD499EC23676BEE7C3417AD2D8382D1BCB9,C108676BCCD8295166C5ABF2524DEF4ABA2194EA24CFE2B727B13711C69FC526,13909481161829656913,UNSIGNED_BIG_ENDIAN_INTEGER_FROM_FIRST_8_BYTES_OF_SEED_SHA256
