ConfigID,Task7LabelID,Task7Label,ClientID,StartInclusive,EndExclusive,Count
alpha_0p1_seed_123,0,Benign,0,0,1,1
alpha_0p1_seed_123,0,Benign,1,1,838,837
alpha_0p1_seed_123,0,Benign,2,838,838,0
alpha_0p1_seed_123,0,Benign,3,838,838,0
alpha_0p1_seed_123,0,Benign,4,838,838,0
alpha_0p1_seed_123,0,Benign,5,838,838,0
alpha_0p1_seed_123,0,Benign,6,838,879,41
alpha_0p1_seed_123,0,Benign,7,879,372809,371930
alpha_0p1_seed_123,0,Benign,8,372809,856578,483769
alpha_0p1_seed_123,0,Benign,9,856578,856578,0
alpha_0p1_seed_123,0,Benign,10,856578,856579,1
alpha_0p1_seed_123,0,Benign,11,856579,856579,0
alpha_0p1_seed_123,0,Benign,12,856579,856580,1
alpha_0p1_seed_123,0,Benign,13,856580,856580,0
alpha_0p1_seed_123,0,Benign,14,856580,856580,0
alpha_0p1_seed_123,0,Benign,15,856580,856582,2
alpha_0p1_seed_123,0,Benign,16,856582,856582,0
alpha_0p1_seed_123,0,Benign,17,856582,856582,0
alpha_0p1_seed_123,0,Benign,18,856582,856582,0
alpha_0p1_seed_123,0,Benign,19,856582,856582,0
alpha_0p1_seed_123,0,Benign,20,856582,856582,0
alpha_0p1_seed_123,0,Benign,21,856582,863412,6830
alpha_0p1_seed_123,0,Benign,22,863412,863424,12
alpha_0p1_seed_123,0,Benign,23,863424,868212,4788
alpha_0p1_seed_123,0,Benign,24,868212,868212,0
alpha_0p1_seed_123,0,Benign,25,868212,868212,0
alpha_0p1_seed_123,0,Benign,26,868212,868212,0
alpha_0p1_seed_123,0,Benign,27,868212,874262,6050
alpha_0p1_seed_123,0,Benign,28,874262,874262,0
alpha_0p1_seed_123,0,Benign,29,874262,874262,0
alpha_0p1_seed_123,1,Brute Force,0,0,0,0
alpha_0p1_seed_123,1,Brute Force,1,0,83,83
alpha_0p1_seed_123,1,Brute Force,2,83,83,0
alpha_0p1_seed_123,1,Brute Force,3,83,83,0
alpha_0p1_seed_123,1,Brute Force,4,83,83,0
alpha_0p1_seed_123,1,Brute Force,5,83,83,0
alpha_0p1_seed_123,1,Brute Force,6,83,83,0
alpha_0p1_seed_123,1,Brute Force,7,83,186,103
alpha_0p1_seed_123,1,Brute Force,8,186,187,1
alpha_0p1_seed_123,1,Brute Force,9,187,187,0
alpha_0p1_seed_123,1,Brute Force,10,187,187,0
alpha_0p1_seed_123,1,Brute Force,11,187,187,0
alpha_0p1_seed_123,1,Brute Force,12,187,187,0
alpha_0p1_seed_123,1,Brute Force,13,187,187,0
alpha_0p1_seed_123,1,Brute Force,14,187,187,0
alpha_0p1_seed_123,1,Brute Force,15,187,187,0
alpha_0p1_seed_123,1,Brute Force,16,187,187,0
alpha_0p1_seed_123,1,Brute Force,17,187,187,0
alpha_0p1_seed_123,1,Brute Force,18,187,187,0
alpha_0p1_seed_123,1,Brute Force,19,187,187,0
alpha_0p1_seed_123,1,Brute Force,20,187,187,0
alpha_0p1_seed_123,1,Brute Force,21,187,187,0
alpha_0p1_seed_123,1,Brute Force,22,187,195,8
alpha_0p1_seed_123,1,Brute Force,23,195,201,6
alpha_0p1_seed_123,1,Brute Force,24,201,201,0
alpha_0p1_seed_123,1,Brute Force,25,201,201,0
alpha_0p1_seed_123,1,Brute Force,26,201,201,0
alpha_0p1_seed_123,1,Brute Force,27,201,10436,10235
alpha_0p1_seed_123,1,Brute Force,28,10436,10436,0
alpha_0p1_seed_123,1,Brute Force,29,10436,10436,0
alpha_0p1_seed_123,2,DoS_DDoS,0,0,551659,551659
alpha_0p1_seed_123,2,DoS_DDoS,1,551659,1098644,546985
alpha_0p1_seed_123,2,DoS_DDoS,2,1098644,1650222,551578
