outer_fold,outer_test_subject,inner_fold,inner_validation_subject,inner_training_subjects,inner_training_windows,inner_validation_windows,inner_seeds
1,subject101,1,subject102,"subject103,subject104,subject105,subject106,subject107,subject108",11003,2037,"123,456"
1,subject101,2,subject105,"subject102,subject103,subject104,subject106,subject107,subject108",10933,2107,"123,456"
1,subject101,3,subject106,"subject102,subject103,subject104,subject105,subject107,subject108",11107,1933,"123,456"
1,subject101,4,subject108,"subject102,subject103,subject104,subject105,subject106,subject107",11014,2026,"123,456"
2,subject102,1,subject101,"subject103,subject104,subject105,subject106,subject107,subject108",11003,1932,"123,456"
2,subject102,2,subject105,"subject101,subject103,subject104,subject106,subject107,subject108",10828,2107,"123,456"
2,subject102,3,subject106,"subject101,subject103,subject104,subject105,subject107,subject108",11002,1933,"123,456"
2,subject102,4,subject108,"subject101,subject103,subject104,subject105,subject106,subject107",10909,2026,"123,456"
3,subject105,1,subject101,"subject102,subject103,subject104,subject106,subject107,subject108",10933,1932,"123,456"
3,subject105,2,subject102,"subject101,subject103,subject104,subject106,subject107,subject108",10828,2037,"123,456"
3,subject105,3,subject106,"subject101,subject102,subject103,subject104,subject107,subject108",10932,1933,"123,456"
3,subject105,4,subject108,"subject101,subject102,subject103,subject104,subject106,subject107",10839,2026,"123,456"
4,subject106,1,subject101,"subject102,subject103,subject104,subject105,subject107,subject108",11107,1932,"123,456"
4,subject106,2,subject102,"subject101,subject103,subject104,subject105,subject107,subject108",11002,2037,"123,456"
4,subject106,3,subject105,"subject101,subject102,subject103,subject104,subject107,subject108",10932,2107,"123,456"
4,subject106,4,subject108,"subject101,subject102,subject103,subject104,subject105,subject107",11013,2026,"123,456"
5,subject108,1,subject101,"subject102,subject103,subject104,subject105,subject106,subject107",11014,1932,"123,456"
5,subject108,2,subject102,"subject101,subject103,subject104,subject105,subject106,subject107",10909,2037,"123,456"
5,subject108,3,subject105,"subject101,subject102,subject103,subject104,subject106,subject107",10839,2107,"123,456"
5,subject108,4,subject106,"subject101,subject102,subject103,subject104,subject105,subject107",11013,1933,"123,456"
