run_id,condition_id,outer_fold,alpha,scenario,method,fl_seed
1,1,1,1.0,clean,fedavg,123
2,1,1,1.0,clean,fedprox,123
3,1,1,1.0,clean,random_trimmed_mean,123
4,1,1,1.0,clean,fedle_adapted,123
5,1,1,1.0,clean,tea_fl,123
6,1,1,1.0,clean,arl_fl,123
7,2,1,1.0,clean,fedavg,456
8,2,1,1.0,clean,fedprox,456
9,2,1,1.0,clean,random_trimmed_mean,456
10,2,1,1.0,clean,fedle_adapted,456
11,2,1,1.0,clean,tea_fl,456
12,2,1,1.0,clean,arl_fl,456
13,3,1,1.0,signflip_mu0p2,fedavg,123
14,3,1,1.0,signflip_mu0p2,fedprox,123
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123
17,3,1,1.0,signflip_mu0p2,tea_fl,123
18,3,1,1.0,signflip_mu0p2,arl_fl,123
19,4,1,1.0,signflip_mu0p2,fedavg,456
20,4,1,1.0,signflip_mu0p2,fedprox,456
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456
23,4,1,1.0,signflip_mu0p2,tea_fl,456
24,4,1,1.0,signflip_mu0p2,arl_fl,456
25,5,1,1.0,signflip_mu0p4,fedavg,123
26,5,1,1.0,signflip_mu0p4,fedprox,123
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123
29,5,1,1.0,signflip_mu0p4,tea_fl,123
30,5,1,1.0,signflip_mu0p4,arl_fl,123
31,6,1,1.0,signflip_mu0p4,fedavg,456
32,6,1,1.0,signflip_mu0p4,fedprox,456
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456
34,6,1,1.0,signflip_mu0p4,fedle_adapted,456
35,6,1,1.0,signflip_mu0p4,tea_fl,456
36,6,1,1.0,signflip_mu0p4,arl_fl,456
37,7,1,1.0,labelflip_mu0p2,fedavg,123
38,7,1,1.0,labelflip_mu0p2,fedprox,123
39,7,1,1.0,labelflip_mu0p2,random_trimmed_mean,123
40,7,1,1.0,labelflip_mu0p2,fedle_adapted,123
41,7,1,1.0,labelflip_mu0p2,tea_fl,123
42,7,1,1.0,labelflip_mu0p2,arl_fl,123
43,8,1,1.0,labelflip_mu0p2,fedavg,456
44,8,1,1.0,labelflip_mu0p2,fedprox,456
45,8,1,1.0,labelflip_mu0p2,random_trimmed_mean,456
46,8,1,1.0,labelflip_mu0p2,fedle_adapted,456
47,8,1,1.0,labelflip_mu0p2,tea_fl,456
48,8,1,1.0,labelflip_mu0p2,arl_fl,456
49,9,1,1.0,labelflip_mu0p4,fedavg,123
50,9,1,1.0,labelflip_mu0p4,fedprox,123
51,9,1,1.0,labelflip_mu0p4,random_trimmed_mean,123
52,9,1,1.0,labelflip_mu0p4,fedle_adapted,123
53,9,1,1.0,labelflip_mu0p4,tea_fl,123
54,9,1,1.0,labelflip_mu0p4,arl_fl,123
55,10,1,1.0,labelflip_mu0p4,fedavg,456
56,10,1,1.0,labelflip_mu0p4,fedprox,456
57,10,1,1.0,labelflip_mu0p4,random_trimmed_mean,456
58,10,1,1.0,labelflip_mu0p4,fedle_adapted,456
59,10,1,1.0,labelflip_mu0p4,tea_fl,456
60,10,1,1.0,labelflip_mu0p4,arl_fl,456
61,11,1,0.1,clean,fedavg,123
62,11,1,0.1,clean,fedprox,123
63,11,1,0.1,clean,random_trimmed_mean,123
64,11,1,0.1,clean,fedle_adapted,123
65,11,1,0.1,clean,tea_fl,123
66,11,1,0.1,clean,arl_fl,123
67,12,1,0.1,clean,fedavg,456
68,12,1,0.1,clean,fedprox,456
69,12,1,0.1,clean,random_trimmed_mean,456
70,12,1,0.1,clean,fedle_adapted,456
71,12,1,0.1,clean,tea_fl,456
72,12,1,0.1,clean,arl_fl,456
73,13,1,0.1,signflip_mu0p2,fedavg,123
74,13,1,0.1,signflip_mu0p2,fedprox,123
75,13,1,0.1,signflip_mu0p2,random_trimmed_mean,123
76,13,1,0.1,signflip_mu0p2,fedle_adapted,123
77,13,1,0.1,signflip_mu0p2,tea_fl,123
78,13,1,0.1,signflip_mu0p2,arl_fl,123
79,14,1,0.1,signflip_mu0p2,fedavg,456
80,14,1,0.1,signflip_mu0p2,fedprox,456
81,14,1,0.1,signflip_mu0p2,random_trimmed_mean,456
