condition_id,outer_fold,alpha,scenario,attack,malicious_count,fl_seed,condition_seed,model_seed,random_schedule_seed
1,1,1.0,clean,none,0,123,548186898,466359210,904643126
2,1,1.0,clean,none,0,456,657744513,1039791761,2129548108
3,1,1.0,signflip_mu0p2,sign_flip,6,123,592959144,466359210,904643126
4,1,1.0,signflip_mu0p2,sign_flip,6,456,1768270906,1039791761,2129548108
5,1,1.0,signflip_mu0p4,sign_flip,11,123,34976113,466359210,904643126
6,1,1.0,signflip_mu0p4,sign_flip,11,456,1439794841,1039791761,2129548108
7,1,1.0,labelflip_mu0p2,label_flip,6,123,2138850039,466359210,904643126
8,1,1.0,labelflip_mu0p2,label_flip,6,456,1192424504,1039791761,2129548108
9,1,1.0,labelflip_mu0p4,label_flip,11,123,600614487,466359210,904643126
10,1,1.0,labelflip_mu0p4,label_flip,11,456,659220358,1039791761,2129548108
11,1,0.1,clean,none,0,123,989626862,466359210,904643126
12,1,0.1,clean,none,0,456,1046060735,1039791761,2129548108
13,1,0.1,signflip_mu0p2,sign_flip,6,123,29946056,466359210,904643126
14,1,0.1,signflip_mu0p2,sign_flip,6,456,522432799,1039791761,2129548108
15,1,0.1,signflip_mu0p4,sign_flip,11,123,102981654,466359210,904643126
16,1,0.1,signflip_mu0p4,sign_flip,11,456,762056444,1039791761,2129548108
17,1,0.1,labelflip_mu0p2,label_flip,6,123,2918772,466359210,904643126
18,1,0.1,labelflip_mu0p2,label_flip,6,456,903721682,1039791761,2129548108
19,1,0.1,labelflip_mu0p4,label_flip,11,123,357962642,466359210,904643126
20,1,0.1,labelflip_mu0p4,label_flip,11,456,1053911892,1039791761,2129548108
21,2,1.0,clean,none,0,123,4210807,1609500700,1673688556
22,2,1.0,clean,none,0,456,1487715984,2090734901,6174703
23,2,1.0,signflip_mu0p2,sign_flip,6,123,972712005,1609500700,1673688556
24,2,1.0,signflip_mu0p2,sign_flip,6,456,368136790,2090734901,6174703
25,2,1.0,signflip_mu0p4,sign_flip,11,123,1190035715,1609500700,1673688556
26,2,1.0,signflip_mu0p4,sign_flip,11,456,1070111596,2090734901,6174703
27,2,1.0,labelflip_mu0p2,label_flip,6,123,557872259,1609500700,1673688556
28,2,1.0,labelflip_mu0p2,label_flip,6,456,20048530,2090734901,6174703
29,2,1.0,labelflip_mu0p4,label_flip,11,123,240999910,1609500700,1673688556
30,2,1.0,labelflip_mu0p4,label_flip,11,456,1334229224,2090734901,6174703
31,2,0.1,clean,none,0,123,606152868,1609500700,1673688556
32,2,0.1,clean,none,0,456,209653786,2090734901,6174703
33,2,0.1,signflip_mu0p2,sign_flip,6,123,172933360,1609500700,1673688556
34,2,0.1,signflip_mu0p2,sign_flip,6,456,814879067,2090734901,6174703
35,2,0.1,signflip_mu0p4,sign_flip,11,123,1824056968,1609500700,1673688556
36,2,0.1,signflip_mu0p4,sign_flip,11,456,470233623,2090734901,6174703
37,2,0.1,labelflip_mu0p2,label_flip,6,123,389278004,1609500700,1673688556
38,2,0.1,labelflip_mu0p2,label_flip,6,456,343598769,2090734901,6174703
39,2,0.1,labelflip_mu0p4,label_flip,11,123,84445302,1609500700,1673688556
40,2,0.1,labelflip_mu0p4,label_flip,11,456,73561966,2090734901,6174703
41,3,1.0,clean,none,0,123,87791120,1400829696,2129437073
42,3,1.0,clean,none,0,456,1585699814,884573031,1066517935
43,3,1.0,signflip_mu0p2,sign_flip,6,123,1125888066,1400829696,2129437073
44,3,1.0,signflip_mu0p2,sign_flip,6,456,525208209,884573031,1066517935
45,3,1.0,signflip_mu0p4,sign_flip,11,123,1517443320,1400829696,2129437073
46,3,1.0,signflip_mu0p4,sign_flip,11,456,274347084,884573031,1066517935
47,3,1.0,labelflip_mu0p2,label_flip,6,123,1494750851,1400829696,2129437073
48,3,1.0,labelflip_mu0p2,label_flip,6,456,1324915620,884573031,1066517935
49,3,1.0,labelflip_mu0p4,label_flip,11,123,905242990,1400829696,2129437073
50,3,1.0,labelflip_mu0p4,label_flip,11,456,2116733674,884573031,1066517935
51,3,0.1,clean,none,0,123,1406234027,1400829696,2129437073
52,3,0.1,clean,none,0,456,996556015,884573031,1066517935
53,3,0.1,signflip_mu0p2,sign_flip,6,123,1591082545,1400829696,2129437073
54,3,0.1,signflip_mu0p2,sign_flip,6,456,1311157659,884573031,1066517935
55,3,0.1,signflip_mu0p4,sign_flip,11,123,233131087,1400829696,2129437073
56,3,0.1,signflip_mu0p4,sign_flip,11,456,1773558895,884573031,1066517935
57,3,0.1,labelflip_mu0p2,label_flip,6,123,478138211,1400829696,2129437073
58,3,0.1,labelflip_mu0p2,label_flip,6,456,1256352614,884573031,1066517935
59,3,0.1,labelflip_mu0p4,label_flip,11,123,122495637,1400829696,2129437073
60,3,0.1,labelflip_mu0p4,label_flip,11,456,1718153979,884573031,1066517935
61,4,1.0,clean,none,0,123,1636006487,213424618,686063111
62,4,1.0,clean,none,0,456,1607026272,19602983,791551251
63,4,1.0,signflip_mu0p2,sign_flip,6,123,1579348421,213424618,686063111
64,4,1.0,signflip_mu0p2,sign_flip,6,456,1898868559,19602983,791551251
65,4,1.0,signflip_mu0p4,sign_flip,11,123,887715847,213424618,686063111
66,4,1.0,signflip_mu0p4,sign_flip,11,456,522848886,19602983,791551251
67,4,1.0,labelflip_mu0p2,label_flip,6,123,330452911,213424618,686063111
68,4,1.0,labelflip_mu0p2,label_flip,6,456,1135924226,19602983,791551251
69,4,1.0,labelflip_mu0p4,label_flip,11,123,1955385590,213424618,686063111
70,4,1.0,labelflip_mu0p4,label_flip,11,456,1502078738,19602983,791551251
71,4,0.1,clean,none,0,123,1395022372,213424618,686063111
72,4,0.1,clean,none,0,456,2096158981,19602983,791551251
73,4,0.1,signflip_mu0p2,sign_flip,6,123,1160727593,213424618,686063111
74,4,0.1,signflip_mu0p2,sign_flip,6,456,1467465539,19602983,791551251
75,4,0.1,signflip_mu0p4,sign_flip,11,123,1897513412,213424618,686063111
76,4,0.1,signflip_mu0p4,sign_flip,11,456,1556393110,19602983,791551251
77,4,0.1,labelflip_mu0p2,label_flip,6,123,1643704532,213424618,686063111
78,4,0.1,labelflip_mu0p2,label_flip,6,456,1794930934,19602983,791551251
79,4,0.1,labelflip_mu0p4,label_flip,11,123,1221881778,213424618,686063111
80,4,0.1,labelflip_mu0p4,label_flip,11,456,1729744715,19602983,791551251
81,5,1.0,clean,none,0,123,587369775,1526525708,701496434
82,5,1.0,clean,none,0,456,810534336,1988577654,788639995
83,5,1.0,signflip_mu0p2,sign_flip,6,123,456660949,1526525708,701496434
84,5,1.0,signflip_mu0p2,sign_flip,6,456,406464728,1988577654,788639995
85,5,1.0,signflip_mu0p4,sign_flip,11,123,1190676480,1526525708,701496434
86,5,1.0,signflip_mu0p4,sign_flip,11,456,1274469322,1988577654,788639995
87,5,1.0,labelflip_mu0p2,label_flip,6,123,430180586,1526525708,701496434
88,5,1.0,labelflip_mu0p2,label_flip,6,456,2036077297,1988577654,788639995
89,5,1.0,labelflip_mu0p4,label_flip,11,123,168958561,1526525708,701496434
90,5,1.0,labelflip_mu0p4,label_flip,11,456,1292939907,1988577654,788639995
91,5,0.1,clean,none,0,123,745196722,1526525708,701496434
92,5,0.1,clean,none,0,456,776935954,1988577654,788639995
93,5,0.1,signflip_mu0p2,sign_flip,6,123,429563218,1526525708,701496434
94,5,0.1,signflip_mu0p2,sign_flip,6,456,1555531042,1988577654,788639995
95,5,0.1,signflip_mu0p4,sign_flip,11,123,946669035,1526525708,701496434
96,5,0.1,signflip_mu0p4,sign_flip,11,456,1649224005,1988577654,788639995
97,5,0.1,labelflip_mu0p2,label_flip,6,123,946119346,1526525708,701496434
98,5,0.1,labelflip_mu0p2,label_flip,6,456,1374435148,1988577654,788639995
99,5,0.1,labelflip_mu0p4,label_flip,11,123,228683259,1526525708,701496434
100,5,0.1,labelflip_mu0p4,label_flip,11,456,447159314,1988577654,788639995
