alpha,alpha_label,subject_id,row_index,activity_index,activity_name,start_timestamp_s,reason
1.0,alpha1p0,101,11028,0,lying,55.58,cross_client_overlap_guard
1.0,alpha1p0,101,11103,0,lying,151.58,cross_client_overlap_guard
1.0,alpha1p0,101,11208,0,lying,285.98,cross_client_overlap_guard
1.0,alpha1p0,101,11338,1,sitting,454.17,cross_client_overlap_guard
1.0,alpha1p0,101,11345,1,sitting,463.13,cross_client_overlap_guard
1.0,alpha1p0,101,11369,1,sitting,493.85,cross_client_overlap_guard
1.0,alpha1p0,101,11460,2,standing,612.17,cross_client_overlap_guard
1.0,alpha1p0,101,11467,2,standing,621.13,cross_client_overlap_guard
1.0,alpha1p0,101,11553,2,standing,731.21,cross_client_overlap_guard
1.0,alpha1p0,101,11601,10,ironing,891.33,cross_client_overlap_guard
1.0,alpha1p0,101,11672,10,ironing,982.21,cross_client_overlap_guard
1.0,alpha1p0,101,11684,10,ironing,997.57,cross_client_overlap_guard
1.0,alpha1p0,101,11801,9,vacuum cleaning,1251.02,cross_client_overlap_guard
1.0,alpha1p0,101,11864,9,vacuum cleaning,1331.66,cross_client_overlap_guard
1.0,alpha1p0,101,11888,9,vacuum cleaning,1362.38,cross_client_overlap_guard
1.0,alpha1p0,101,12041,8,descending stairs,1797.38,cross_client_overlap_guard
1.0,alpha1p0,101,12097,7,ascending stairs,1907.76,cross_client_overlap_guard
1.0,alpha1p0,101,12101,7,ascending stairs,1912.88,cross_client_overlap_guard
1.0,alpha1p0,101,12108,7,ascending stairs,1921.84,cross_client_overlap_guard
1.0,alpha1p0,101,12137,8,descending stairs,1961.14,cross_client_overlap_guard
1.0,alpha1p0,101,12167,8,descending stairs,1999.54,cross_client_overlap_guard
1.0,alpha1p0,101,12179,3,walking,2257.49,cross_client_overlap_guard
1.0,alpha1p0,101,12185,3,walking,2265.17,cross_client_overlap_guard
1.0,alpha1p0,101,12209,3,walking,2295.89,cross_client_overlap_guard
1.0,alpha1p0,101,12389,6,Nordic walking,2600.29,cross_client_overlap_guard
1.0,alpha1p0,101,12400,6,Nordic walking,2614.37,cross_client_overlap_guard
1.0,alpha1p0,101,12462,6,Nordic walking,2693.73,cross_client_overlap_guard
1.0,alpha1p0,101,12552,5,cycling,2907.18,cross_client_overlap_guard
1.0,alpha1p0,101,12562,5,cycling,2919.98,cross_client_overlap_guard
1.0,alpha1p0,101,12565,5,cycling,2923.82,cross_client_overlap_guard
1.0,alpha1p0,101,12705,4,running,3165.24,cross_client_overlap_guard
1.0,alpha1p0,101,12720,4,running,3184.44,cross_client_overlap_guard
1.0,alpha1p0,101,12809,4,running,3298.36,cross_client_overlap_guard
1.0,alpha1p0,101,12868,11,rope jumping,3524.14,cross_client_overlap_guard
1.0,alpha1p0,101,12884,11,rope jumping,3544.62,cross_client_overlap_guard
1.0,alpha1p0,101,12905,11,rope jumping,3571.5,cross_client_overlap_guard
1.0,alpha1p0,102,14,0,lying,73.12,cross_client_overlap_guard
1.0,alpha1p0,102,32,0,lying,96.16,cross_client_overlap_guard
1.0,alpha1p0,102,125,0,lying,215.2,cross_client_overlap_guard
1.0,alpha1p0,102,229,1,sitting,412.32,cross_client_overlap_guard
1.0,alpha1p0,102,304,1,sitting,508.32,cross_client_overlap_guard
1.0,alpha1p0,102,316,1,sitting,523.68,cross_client_overlap_guard
1.0,alpha1p0,102,416,2,standing,673.96,cross_client_overlap_guard
1.0,alpha1p0,102,460,2,standing,730.28,cross_client_overlap_guard
1.0,alpha1p0,102,490,2,standing,768.68,cross_client_overlap_guard
1.0,alpha1p0,102,565,10,ironing,923.44,cross_client_overlap_guard
1.0,alpha1p0,102,626,10,ironing,1001.52,cross_client_overlap_guard
1.0,alpha1p0,102,701,10,ironing,1097.52,cross_client_overlap_guard
1.0,alpha1p0,102,876,9,vacuum cleaning,1404.5,cross_client_overlap_guard
1.0,alpha1p0,102,920,9,vacuum cleaning,1460.82,cross_client_overlap_guard
1.0,alpha1p0,102,924,9,vacuum cleaning,1465.94,cross_client_overlap_guard
1.0,alpha1p0,102,967,7,ascending stairs,1772.57,cross_client_overlap_guard
1.0,alpha1p0,102,1073,7,ascending stairs,2441.91,cross_client_overlap_guard
1.0,alpha1p0,102,1117,7,ascending stairs,2498.23,cross_client_overlap_guard
1.0,alpha1p0,102,1142,8,descending stairs,2531.92,cross_client_overlap_guard
