outer_fold,outer_test_subject,alpha,global_client_id,class_index,activity_name,windows
1,101,1.0,subject102_client0,0,lying,56
1,101,1.0,subject102_client0,1,sitting,38
1,101,1.0,subject102_client0,2,standing,29
1,101,1.0,subject102_client0,3,walking,18
1,101,1.0,subject102_client0,4,running,6
1,101,1.0,subject102_client0,5,cycling,38
1,101,1.0,subject102_client0,6,Nordic walking,16
1,101,1.0,subject102_client0,7,ascending stairs,46
1,101,1.0,subject102_client0,8,descending stairs,35
1,101,1.0,subject102_client0,9,vacuum cleaning,43
1,101,1.0,subject102_client0,10,ironing,74
1,101,1.0,subject102_client0,11,rope jumping,43
1,101,1.0,subject102_client1,0,lying,92
1,101,1.0,subject102_client1,1,sitting,47
1,101,1.0,subject102_client1,2,standing,61
1,101,1.0,subject102_client1,3,walking,26
1,101,1.0,subject102_client1,4,running,21
1,101,1.0,subject102_client1,5,cycling,30
1,101,1.0,subject102_client1,6,Nordic walking,140
1,101,1.0,subject102_client1,7,ascending stairs,30
1,101,1.0,subject102_client1,8,descending stairs,72
1,101,1.0,subject102_client1,9,vacuum cleaning,3
1,101,1.0,subject102_client1,10,ironing,75
1,101,1.0,subject102_client1,11,rope jumping,16
1,101,1.0,subject102_client2,0,lying,17
1,101,1.0,subject102_client2,1,sitting,74
1,101,1.0,subject102_client2,2,standing,43
1,101,1.0,subject102_client2,3,walking,120
1,101,1.0,subject102_client2,4,running,34
1,101,1.0,subject102_client2,5,cycling,25
1,101,1.0,subject102_client2,6,Nordic walking,3
1,101,1.0,subject102_client2,7,ascending stairs,43
1,101,1.0,subject102_client2,8,descending stairs,2
1,101,1.0,subject102_client2,9,vacuum cleaning,12
1,101,1.0,subject102_client2,10,ironing,12
1,101,1.0,subject102_client2,11,rope jumping,15
1,101,1.0,subject102_client3,0,lying,14
1,101,1.0,subject102_client3,1,sitting,11
1,101,1.0,subject102_client3,2,standing,62
1,101,1.0,subject102_client3,3,walking,86
1,101,1.0,subject102_client3,4,running,7
1,101,1.0,subject102_client3,5,cycling,99
1,101,1.0,subject102_client3,6,Nordic walking,69
1,101,1.0,subject102_client3,7,ascending stairs,11
1,101,1.0,subject102_client3,8,descending stairs,3
1,101,1.0,subject102_client3,9,vacuum cleaning,99
1,101,1.0,subject102_client3,10,ironing,60
1,101,1.0,subject102_client3,11,rope jumping,25
