outer_fold,outer_test_subject,alpha,clients,total_retained_windows,min_client_windows,median_client_windows,max_client_windows,mean_classes_present,mean_normalized_label_entropy,mean_dominant_class_fraction,mean_js_divergence_from_fold
1,101,1.0,28,12815,203,453.5,656,10.785714285714286,0.8269719320109236,0.24073810106243934,0.13467574505290253
1,101,0.1,28,12960,131,424.0,908,5.392857142857143,0.46590362185398754,0.48857057732715353,0.47088067318140775
2,102,1.0,28,12710,203,449.5,656,10.785714285714286,0.8252606236226673,0.24264380032043936,0.13928569277265695
2,102,0.1,28,12853,168,424.0,908,5.464285714285714,0.4732552072162628,0.48050040964191637,0.46642536807717533
3,105,1.0,28,12640,203,438.0,656,10.785714285714286,0.8224252167389527,0.24966675572652516,0.14186995328501895
3,105,0.1,28,12784,131,425.5,908,5.464285714285714,0.4762820019097858,0.4865595571364342,0.46392266195753706
4,106,1.0,28,12811,203,453.5,656,10.892857142857142,0.8289255550298359,0.241592364129547,0.13796474521658011
4,106,0.1,28,12947,131,425.5,878,5.785714285714286,0.49628968735116047,0.4647501346261352,0.4497551318420731
5,108,1.0,28,12721,203,453.5,644,10.785714285714286,0.8249189136547596,0.24405427036530178,0.14264526248309048
5,108,0.1,28,12859,131,424.0,908,5.642857142857143,0.47803710604290905,0.48511578524273036,0.4625257212546137
