alpha,method_id,method_label,CLEAN,CLEAN_mean,CLEAN_std,SIGNFLIP_MU0P2,SIGNFLIP_MU0P2_mean,SIGNFLIP_MU0P2_std,SIGNFLIP_MU0P4,SIGNFLIP_MU0P4_mean,SIGNFLIP_MU0P4_std
0.1,FEDAVG,FedAvg,0.3669 ± 0.0358,0.3668706757478,0.0358272360929523,0.1726 ± 0.0554,0.172618477554,0.0554338042255523,0.1430 ± 0.0410,0.1429745217326,0.0410479888983798
0.1,FEDPROX,FedProx,0.4021 ± 0.0667,0.4021375101932,0.0666627983105818,0.1838 ± 0.0714,0.183797285656,0.0714122651513909,0.1398 ± 0.0344,0.1398308271072,0.0343737319747951
0.1,RANDOM_TRIMMED_MEAN,Random+Trimmed Mean,0.3450 ± 0.0359,0.3449766211228,0.0359212847902448,0.2764 ± 0.1001,0.2763872750652,0.100100975243779,0.1557 ± 0.0515,0.1557055685918,0.0514580705384512
0.1,FEDLE_ADAPTED,FedLE-adapted,0.3651 ± 0.0339,0.3651339310108,0.0338748656871317,0.1676 ± 0.0591,0.1675805802412,0.0590615316874127,0.1507 ± 0.0405,0.150673049921,0.0404535348289025
0.1,TEA_FL,TEA-FL,0.2217 ± 0.0805,0.2217407232556,0.0805407447493238,0.2760 ± 0.0982,0.2760166929756,0.0982408379939837,0.1507 ± 0.0586,0.1506621735742,0.0585933589628593
0.1,ARL_FL,ARL-FL,0.3717 ± 0.0362,0.3717196430492,0.0362340391872092,0.2573 ± 0.1058,0.2572985089814,0.105808607114718,0.1533 ± 0.0568,0.1533068329584,0.0568005307406175
1.0,FEDAVG,FedAvg,0.6153 ± 0.0130,0.6152537509892,0.0129590424465975,0.5495 ± 0.0100,0.5494659147176,0.0099646860423401,0.5491 ± 0.0099,0.549077857145,0.0098745354525284
1.0,FEDPROX,FedProx,0.6190 ± 0.0059,0.6189730714552,0.0059139286597539,0.5315 ± 0.0100,0.5315277275932,0.0100110206683608,0.5306 ± 0.0095,0.5306286587638,0.009453348866593
1.0,RANDOM_TRIMMED_MEAN,Random+Trimmed Mean,0.6140 ± 0.0206,0.6140374394544,0.0206489560335058,0.5807 ± 0.0174,0.5806752854738,0.0173930741406253,0.5491 ± 0.0137,0.5490541525302,0.0136583624869226
1.0,FEDLE_ADAPTED,FedLE-adapted,0.6156 ± 0.0131,0.6155647044726,0.0131390080337875,0.5498 ± 0.0099,0.5497857105798,0.0098540067595721,0.5492 ± 0.0097,0.5492118776684,0.0097149612947365
1.0,TEA_FL,TEA-FL,0.5988 ± 0.0245,0.5988176890604,0.024479247348909,0.5847 ± 0.0231,0.5846825107492,0.0231052620414488,0.5553 ± 0.0163,0.555321629641,0.0163429669415546
1.0,ARL_FL,ARL-FL,0.6158 ± 0.0158,0.6158178143504,0.0157995267402555,0.5857 ± 0.0227,0.58571438889,0.0227335422737819,0.5499 ± 0.0128,0.5498571903,0.0127696580827635
