alpha,method_id,attack_scenario,absolute_drop_mean,absolute_drop_std,retention_ratio_mean,retention_ratio_std,method_label,attack_label
0.1,FEDAVG,SIGNFLIP_MU0P2,0.1942521981938,0.071987189083376,0.476309880474564,0.161928635182257,FedAvg,Sign-flip μ=0.2
0.1,FEDAVG,SIGNFLIP_MU0P4,0.2238961540152,0.0603683411196768,0.39460900431017,0.127946844403035,FedAvg,Sign-flip μ=0.4
0.1,FEDPROX,SIGNFLIP_MU0P2,0.2183402245372,0.126696765975412,0.481303910338199,0.239232718803715,FedProx,Sign-flip μ=0.2
0.1,FEDPROX,SIGNFLIP_MU0P4,0.262306683086,0.0824686843519424,0.356807624131145,0.112291799778439,FedProx,Sign-flip μ=0.4
0.1,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,0.0685893460576,0.0992503492480909,0.803577475785306,0.272549777935822,Random+Trimmed Mean,Sign-flip μ=0.2
0.1,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,0.189271052531,0.0385098955024649,0.447096716883296,0.11447032557744,Random+Trimmed Mean,Sign-flip μ=0.4
0.1,FEDLE_ADAPTED,SIGNFLIP_MU0P2,0.1975533507696,0.0677114155444151,0.461518975819823,0.163911886246255,FedLE-adapted,Sign-flip μ=0.2
0.1,FEDLE_ADAPTED,SIGNFLIP_MU0P4,0.2144608810898,0.0556595073937157,0.416241724143513,0.12145087623796,FedLE-adapted,Sign-flip μ=0.4
0.1,TEA_FL,SIGNFLIP_MU0P2,-0.05427596972,0.0456292000993263,1.24184061023203,0.204843022002209,TEA-FL,Sign-flip μ=0.2
0.1,TEA_FL,SIGNFLIP_MU0P4,0.0710785496814,0.0444185431292393,0.702705516348345,0.18868727301113,TEA-FL,Sign-flip μ=0.4
0.1,ARL_FL,SIGNFLIP_MU0P2,0.1144211340678,0.114804882439836,0.698637147193628,0.290062918215318,ARL-FL,Sign-flip μ=0.2
0.1,ARL_FL,SIGNFLIP_MU0P4,0.2184128100908,0.0642204863022007,0.414008062298542,0.148802987446832,ARL-FL,Sign-flip μ=0.4
1.0,FEDAVG,SIGNFLIP_MU0P2,0.0657878362716,0.0151177792309479,0.893350081308168,0.0227782083616529,FedAvg,Sign-flip μ=0.2
1.0,FEDAVG,SIGNFLIP_MU0P4,0.0661758938442,0.0151966994113396,0.892723740892872,0.022898691769632,FedAvg,Sign-flip μ=0.4
1.0,FEDPROX,SIGNFLIP_MU0P2,0.087445343862,0.008834372363099,0.858728285678638,0.0141629948972646,FedProx,Sign-flip μ=0.2
1.0,FEDPROX,SIGNFLIP_MU0P4,0.0883444126914,0.0089174884989408,0.8572885289166,0.0141392514082814,FedProx,Sign-flip μ=0.4
1.0,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,0.0333621539806,0.0181989514242425,0.946126185597592,0.0289069429348269,Random+Trimmed Mean,Sign-flip μ=0.2
1.0,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,0.0649832869242,0.0190756351675278,0.894738023688034,0.0287540555967576,Random+Trimmed Mean,Sign-flip μ=0.4
1.0,FEDLE_ADAPTED,SIGNFLIP_MU0P2,0.0657789938928,0.015856729120507,0.893448345665815,0.0238996750265004,FedLE-adapted,Sign-flip μ=0.2
1.0,FEDLE_ADAPTED,SIGNFLIP_MU0P4,0.0663528268042,0.0160005927126539,0.892523787165165,0.0241200668070934,FedLE-adapted,Sign-flip μ=0.4
1.0,TEA_FL,SIGNFLIP_MU0P2,0.0141351783112,0.0214618202153602,0.976965525490008,0.0349370530107535,TEA-FL,Sign-flip μ=0.2
1.0,TEA_FL,SIGNFLIP_MU0P4,0.0434960594194,0.0139645942216904,0.927868846290522,0.0212150472273566,TEA-FL,Sign-flip μ=0.4
1.0,ARL_FL,SIGNFLIP_MU0P2,0.0301034254604,0.0161484022997161,0.951089160585289,0.0260824965976895,ARL-FL,Sign-flip μ=0.2
1.0,ARL_FL,SIGNFLIP_MU0P4,0.0659606240504,0.0167988228461507,0.893225827380027,0.0252594301285285,ARL-FL,Sign-flip μ=0.4
