"RunDirectory","EvidenceFileCount","CompleteMarkerFound","BindingFileCount","SourcePath"
"run_001__alpha_0p1_seed_123__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_001__alpha_0p1_seed_123__FEDAVG__CLEAN"
"run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2"
"run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4"
"run_004__alpha_0p1_seed_123__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_004__alpha_0p1_seed_123__FEDPROX__CLEAN"
"run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2"
"run_006__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_006__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P4"
"run_007__alpha_0p1_seed_123__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_007__alpha_0p1_seed_123__RANDOM_TRIMMED_MEAN__CLEAN"
"run_008__alpha_0p1_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_008__alpha_0p1_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_009__alpha_0p1_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_009__alpha_0p1_seed_123__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_010__alpha_0p1_seed_123__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_010__alpha_0p1_seed_123__FEDLE_ADAPTED__CLEAN"
"run_011__alpha_0p1_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_011__alpha_0p1_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_012__alpha_0p1_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_012__alpha_0p1_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_013__alpha_0p1_seed_123__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_013__alpha_0p1_seed_123__TEA_FL__CLEAN"
"run_014__alpha_0p1_seed_123__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_014__alpha_0p1_seed_123__TEA_FL__SIGNFLIP_MU0P2"
"run_015__alpha_0p1_seed_123__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_015__alpha_0p1_seed_123__TEA_FL__SIGNFLIP_MU0P4"
"run_016__alpha_0p1_seed_123__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_016__alpha_0p1_seed_123__ARL_FL__CLEAN"
