run_index,run_directory,filename,size_bytes,sha256
1,run_001__alpha_0p1_seed_123__FEDAVG__CLEAN,BEST_STATE.pt,179065,E6F4C23DFBDD6A91BE98A967D68B1E5BC6994535CAADEF915736CD8368D95CFF
1,run_001__alpha_0p1_seed_123__FEDAVG__CLEAN,ROUND_CHECKPOINT.pt,179329,997F2B75518FB3A4D7D80689B5508B53F33500E9E8C1CB2C0B39A40DB3567DFC
1,run_001__alpha_0p1_seed_123__FEDAVG__CLEAN,ROUND_VALIDATION_METRICS.csv,1663,2DF400161AC960776BAE85DEEA1728F2DF0189C0A3CC3385EC1C3CBCF1113841
1,run_001__alpha_0p1_seed_123__FEDAVG__CLEAN,RUN_COMPLETE.json,1095,434863399233616EEC88517A39C5BF1DCAD93F48098C523EBD343AB36B100E84
1,run_001__alpha_0p1_seed_123__FEDAVG__CLEAN,RUN_CONTRACT.json,418,743B855EC69596EADD3F159C047C20E0A7DE64BFEAE044BB117C403A1E260CE2
1,run_001__alpha_0p1_seed_123__FEDAVG__CLEAN,RUN_STATE.json,239,32A5264F7EAAF2000E71C52CF3CEB3E08E873E7864E2804E29B3F39016904CF3
2,run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2,BEST_STATE.pt,179065,DFFAEA1F686B3F558A88D0CE17C91482B31FBE7A6B642E155AFCC320B645EC5E
2,run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2,ROUND_CHECKPOINT.pt,179329,052028E68D7FEB44880C9B1CFE19A6CB0137828D5DFE3884E89E907B85DBE4BC
2,run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2,ROUND_VALIDATION_METRICS.csv,1667,F0D43AD3C5D955747D81F8515D6C8388C28DBAA187E5FE3D8ACE88AC98CB463C
2,run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2,RUN_COMPLETE.json,1102,7AA2FD331B982D8F0C2C2FE3BF5AF38008EE57320A815CEFCFAAB7F13E7AAB25
2,run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2,RUN_CONTRACT.json,427,79C698FEEF67E7D0236F5DDE4BCA82EF018A2CC8B41243BC267C4D9E3D81BF2E
2,run_002__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P2,RUN_STATE.json,238,AA2E7510BEF3B7ADAB7DFAB45144BF52A7F1C4C6FB1AD6CD480B5797B2122064
3,run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4,BEST_STATE.pt,179065,DFFAEA1F686B3F558A88D0CE17C91482B31FBE7A6B642E155AFCC320B645EC5E
3,run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4,ROUND_CHECKPOINT.pt,179329,807D94336A58F3EEB2452E8F7A4F76833FB950C5F4B34C54A49280FD97D00712
3,run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4,ROUND_VALIDATION_METRICS.csv,1752,6C3E34A4EA1D234595C9AD0331775A76BC83AE383AC57BA1D325B89DA4848343
3,run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4,RUN_COMPLETE.json,1102,792B450DF80E82877D86E8ED265A7DD25D842C7E21801388E93F9BBE3E50D166
3,run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4,RUN_CONTRACT.json,427,E48DF1A5D6E9DA871248C831913367625E12432E599307A80DD66018C88FC046
3,run_003__alpha_0p1_seed_123__FEDAVG__SIGNFLIP_MU0P4,RUN_STATE.json,238,AA2E7510BEF3B7ADAB7DFAB45144BF52A7F1C4C6FB1AD6CD480B5797B2122064
4,run_004__alpha_0p1_seed_123__FEDPROX__CLEAN,BEST_STATE.pt,179065,6D7664CF28A0C56218A0EB060038CCD32E43D8EC5882D7FF61FA2FAB538387E0
4,run_004__alpha_0p1_seed_123__FEDPROX__CLEAN,ROUND_CHECKPOINT.pt,179329,8A682FA1F1019AA5FCD2E293E33B3EDDDF831604E4DF66A6B3CD2E05F8ED4D1B
4,run_004__alpha_0p1_seed_123__FEDPROX__CLEAN,ROUND_VALIDATION_METRICS.csv,1673,2BDC6CA3BF961A8693479E1EFA043B601A0B60E20D4FE7896BAF53A8A1AE447E
4,run_004__alpha_0p1_seed_123__FEDPROX__CLEAN,RUN_COMPLETE.json,1093,283416BEEFA0AC7127868CB57B1F60489D46B0E16EA2A806C9D094EB5A17656D
4,run_004__alpha_0p1_seed_123__FEDPROX__CLEAN,RUN_CONTRACT.json,419,17170EAABE319F8873997A86FD64E4DE05D881BC7C4970F76C16793C73BA9B82
4,run_004__alpha_0p1_seed_123__FEDPROX__CLEAN,RUN_STATE.json,238,B8F24D62A7BDFF7E578489A17423642C2C9DD7BF83AE03C0E079BE6791AE7524
5,run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2,BEST_STATE.pt,179065,9284177765C9B84A19CFB0680195511E815E8A1345EC0341B989CBBB69609667
5,run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2,ROUND_CHECKPOINT.pt,179329,BAB407B090323DD4DE18FA1698A3351382FCBA14B31C04414F1128D60007A8C4
5,run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2,ROUND_VALIDATION_METRICS.csv,1670,942236700A4FEF1FA2B66440EAD0C50B99ECE54704145FDA2896210FF604F9BF
5,run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2,RUN_COMPLETE.json,1103,2C97D444575F3DEB5D7D77D50DD84C9927FFD6931EE231951E8F85615BC675EA
5,run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2,RUN_CONTRACT.json,428,67045DD285F6E36FF0D132A861F2099ED55761F56E80F83ACA560E9333E5608E
5,run_005__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P2,RUN_STATE.json,238,D6146E01ED63BAB2098EB94B11B0D2DD745BDA6C3D45538E97518FCB1631B834
6,run_006__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P4,BEST_STATE.pt,179065,9284177765C9B84A19CFB0680195511E815E8A1345EC0341B989CBBB69609667
6,run_006__alpha_0p1_seed_123__FEDPROX__SIGNFLIP_MU0P4,ROUND_CHECKPOINT.pt,179329,91D8055E2C2530972F3CF114D7EA652D37EF35B45891BCD31052AD488511EFFE
