ablation_run_id,reference_run_id,outer_fold,alpha,scenario,method_family,variant,fl_seed,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256
1,65,1,0.1,clean,tea_fl,tea_trust_only,123,4290,1FADC06C2A0DF3F782F33E1821D7223B0D200B2B6922A7ECEFD0FD44E74A7586,8331769AC2CC596C95554B55B8BADB49501A085721324590CC65FEFE3D1A25B4
2,65,1,0.1,clean,tea_fl,tea_energy_only,123,5116,8478E421A448F9529FAEBEB591F11F1536EC84AD6DA9BD26ACCFF5656B5BDD7C,EDFACB9135506258423B00F630107FB16CDCDCE670D743EBFA1F2B1E47A96634
3,66,1,0.1,clean,arl_fl,arl_no_energy,123,5673,744E74287302A2C87AAA0A1570182551785E4D60965DDBF322871C93ADF21332,DF80C2C7F4F897E5360AA80C4AE915AF41420DD394783CC15D25BAEA97E9F1FC
4,66,1,0.1,clean,arl_fl,arl_no_pressure,123,5422,A0E034AB21943CEF8D2A4D333B08AC55079D3F1D32E48D88ECF93B71F4A2A694,99AD52CDFFE11EBFC5BAB295374BCE742E433F17D80A855846C67B71E6CB9987
5,71,1,0.1,clean,tea_fl,tea_trust_only,456,4424,BD18F82CFD873997A75F3A6311E7E27A901D8DB2E79876C6330043256FC8AF84,9FD1B12B680F2F083984CEDD420B284AFC1A4F8C2B68318B52D8565EC16CEEAC
6,71,1,0.1,clean,tea_fl,tea_energy_only,456,5247,D28925E6AB5755C5ED7888FE9376755BD47FFA34D703D85FCF19FE983DA6A8A7,5C786AADE350E345B304501C9CE4423CAA379F46CDDEF639CA08CFE1647A792B
7,72,1,0.1,clean,arl_fl,arl_no_energy,456,5729,DF7F540ACB1664B3623B04D76FF4BB683C6778E0EB6C470FBF98A2420C7BBE28,46365057D0B1CFC77E7E916488448C54B7875ABBD70A96D76023C6C7BB3DBEEE
8,72,1,0.1,clean,arl_fl,arl_no_pressure,456,5352,83A0124191FD8C2C510D95907BA5ABCDAD41ACDC0795C1BF3D86ADAD4D858225,313927372A14B20B025CED8839FBB8AF9B264F5223A89ABE9CCD9A60A152D641
9,185,2,0.1,clean,tea_fl,tea_trust_only,123,4767,B7D551006900EB3183F80BD14D0817CB94F34CF22D04D48EC728E8A56A5D0D70,8335C85128B991320053A787B6F680B4EADD8AEFDB08FEEE30512C159DBBB871
10,185,2,0.1,clean,tea_fl,tea_energy_only,123,5365,E046A5DFAAB5614EFB981AEFB4F506429C1A9486AD0619C4D15391F3608F53B0,0C5F4DE5E369A5AF8231B20ABC0E210896D09B2061D5C728160C5D325E53E4A7
11,186,2,0.1,clean,arl_fl,arl_no_energy,123,5631,7B278FEC76389651D3449E67555F6B3BCB9938E85F8EAE47C6DA044C33316A49,C04AE251025176A15E618022A948B5DF9AA2D19376027B193AB60B2480C3D510
12,186,2,0.1,clean,arl_fl,arl_no_pressure,123,5473,3528E3AA6607D1DA6999D25DC73EA49174533F25E0314929CC17B03A6F68D104,A593447AD87A20993BB397BC3AF481203BE868453B0845AFDC4AC0B2BC9F1D74
13,191,2,0.1,clean,tea_fl,tea_trust_only,456,4697,5B75BB70AC51C31F585D60011C58E653D2AE1AEE6708FA3532428AE6B55D9C48,72974A7B83109729B2AD94530B85933511BB543D7D73F05ECB51534B69C94140
