index,class_index,activity_id,activity_name,all_methods_f1_mean,all_methods_f1_std,all_methods_f1_median,all_methods_f1_min,all_methods_f1_max,best_method,best_method_label,best_method_f1_mean,difficulty_rank_1_is_hardest
0,0,1,Lying,0.4127426660794928,0.4199129016214871,0.2807842681841056,0.0,0.96986301369863,tea_fl,TEA-FL,0.487668142357385,5.0
1,1,2,Sitting,0.2173673314568844,0.24295528229177316,0.07067627494456755,0.0,0.8298368298368298,random_trimmed_mean,Random Trimmed Mean,0.24945351360468934,3.0
2,2,3,Standing,0.21518523354161034,0.2217191749690363,0.17351257477326815,0.0,0.7300771208226221,tea_fl,TEA-FL,0.2800383734968678,2.0
3,3,4,Walking,0.557826475454231,0.406106192692902,0.722133257077495,0.0,0.9822784810126582,tea_fl,TEA-FL,0.702994836019197,11.0
4,4,5,Running,0.505386163955379,0.43698372242793615,0.6687162149610834,0.0,0.9784172661870504,tea_fl,TEA-FL,0.6664927063386551,10.0
5,5,6,Cycling,0.5746049925458983,0.39804401649073345,0.7835094339622641,0.0,0.969187675070028,tea_fl,TEA-FL,0.7347851977714036,12.0
6,6,7,Nordic walking,0.49948785762854425,0.40200575198957866,0.5966776754971541,0.0,0.9925925925925926,tea_fl,TEA-FL,0.6531510453140625,9.0
7,7,12,Ascending stairs,0.43001719613254324,0.3529709475124886,0.49938271604938267,0.0,0.9295774647887324,tea_fl,TEA-FL,0.5026096957085793,6.0
8,8,13,Descending stairs,0.4117131953948841,0.34281706075468227,0.46528541226215636,0.0,0.8990825688073395,tea_fl,TEA-FL,0.48212151646848583,4.0
9,9,16,Vacuum cleaning,0.43861359120242716,0.3457555162795266,0.5628033980582524,0.0,0.927536231884058,tea_fl,TEA-FL,0.5501337582116712,7.0
10,10,17,Ironing,0.45012391231443083,0.3465936558224891,0.617218230247468,0.0,0.9058823529411764,tea_fl,TEA-FL,0.5934068718270591,8.0
11,11,24,Rope jumping,0.19522026359036856,0.34406408957261847,0.0,0.0,0.9649122807017544,fedprox,FedProx,0.2750206799003999,1.0
