alpha,scenario,method,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,energy_consumed_mean,final_active_clients_mean,jain_fairness_mean,method_label,macro_f1_rank
0.1,clean,arl_fl,0.5426623533164007,0.08376170376827322,0.5880771729683509,16.670391544506806,22.7,0.8784925506027269,ARL-FL,4.0
0.1,clean,fedavg,0.5975352693509297,0.08512290839668565,0.6335096737121734,17.46344112294742,17.0,0.959574286631274,FedAvg,2.0
0.1,clean,fedle_adapted,0.572878223548105,0.06722305350253799,0.614035803672716,17.678964681695224,19.6,0.9271706222170899,FedLE-adapted,3.0
0.1,clean,fedprox,0.6256097133335425,0.0815327028414494,0.6557705268331521,17.46344112294742,17.0,0.959574286631274,FedProx,1.0
0.1,clean,random_trimmed_mean,0.47941255057028426,0.06504968047291673,0.5281260493679015,17.46344112294742,17.0,0.959574286631274,Random Trimmed Mean,5.0
0.1,clean,tea_fl,0.4043579100502197,0.05549523371482227,0.4704356746488664,14.396488593376265,18.7,0.6376716161839892,TEA-FL,6.0
0.1,labelflip_mu0p2,arl_fl,0.4647308426290236,0.09050423828081386,0.5219395858169865,16.63684584748654,21.2,0.870515752200334,ARL-FL,4.0
0.1,labelflip_mu0p2,fedavg,0.5129528163018444,0.10795083510511971,0.5559269261666284,17.46344112294742,17.0,0.959574286631274,FedAvg,3.0
0.1,labelflip_mu0p2,fedle_adapted,0.527517063733376,0.11481708413398871,0.5721779333075527,17.678964681695224,19.6,0.9271706222170899,FedLE-adapted,2.0
0.1,labelflip_mu0p2,fedprox,0.528334864252194,0.12018992500029577,0.5663290977895272,17.46344112294742,17.0,0.959574286631274,FedProx,1.0
0.1,labelflip_mu0p2,random_trimmed_mean,0.42076350747423963,0.09506498884603476,0.4794713706679755,17.46344112294742,17.0,0.959574286631274,Random Trimmed Mean,5.0
0.1,labelflip_mu0p2,tea_fl,0.37897925449337955,0.07965353103471609,0.46636764724609525,14.464488970390448,18.5,0.6396408804390529,TEA-FL,6.0
0.1,labelflip_mu0p4,arl_fl,0.25916489523175673,0.12565957164191952,0.3442276547907167,16.68796902085163,22.4,0.8736804568005418,ARL-FL,6.0
0.1,labelflip_mu0p4,fedavg,0.3778933526454952,0.09387053070882698,0.43974963127858224,17.46344112294742,17.0,0.959574286631274,FedAvg,2.0
