method,macro_f1,balanced_accuracy,total_normalized_energy_consumed,final_mean_residual_energy,final_active_clients,jain_participation_fairness,macro_f1_benefit_norm,balanced_accuracy_benefit_norm,total_normalized_energy_consumed_benefit_norm,final_mean_residual_energy_benefit_norm,final_active_clients_benefit_norm,jain_participation_fairness_benefit_norm,pareto_macro_f1_energy,pareto_four_objective,score_effectiveness_energy,score_balanced_four_objective,alpha,scenario,method_label
arl_fl,0.7227868413813775,0.736286155332687,16.287707273152687,0.26443844406216027,24.8,0.8464117683264527,0.490432616126089,0.49269484550345277,0.5457831172732326,0.5457831172732323,1.0,0.4747077184995046,True,True,0.5181078666996608,0.6277308629747066,1.0,clean,ARL-FL
fedavg,0.787712564381936,0.7861246665805715,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,1.0,1.0,0.0,0.0,0.4000000000000001,1.0,True,True,0.5,0.6000000000000001,1.0,clean,FedAvg
fedle_adapted,0.7522868189287886,0.758940477286332,17.33654838719105,0.22697983284650447,21.4,0.9193718020884262,0.7219622116154462,0.7232927107074663,0.01152675569117323,0.011526755691173379,0.6421052631578945,0.7626459295797797,True,True,0.3667444836533097,0.5345600400110734,1.0,clean,FedLE-adapted
fedprox,0.7870632834230393,0.7854107980896062,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.9949041399258458,0.992733547691702,0.0,0.0,0.4000000000000001,1.0,False,False,0.4974520699629229,0.5987260349814615,1.0,clean,FedProx
random_trimmed_mean,0.737583416950611,0.7479796409353628,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.6065630487905368,0.6117225887432834,0.0,0.0,0.4000000000000001,1.0,False,False,0.3032815243952684,0.5016407621976342,1.0,clean,Random Trimmed Mean
tea_fl,0.660299144576747,0.6878829854028108,15.395998019783315,0.29628520311106643,15.3,0.726126617429487,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.5,0.25,1.0,clean,TEA-FL
arl_fl,0.6679049029240931,0.690501915578867,16.40878024192499,0.26011440946314945,24.7,0.8594762160412056,0.9385890022044975,0.9433429994449279,0.6622450609306975,0.6622450609306972,1.0,0.4853240770226709,False,True,0.8004170315675975,0.7715395350394664,1.0,signflip_mu0p2,ARL-FL
fedavg,0.03924750143735622,0.11406034377623768,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.02813931920235118,0.036166993832059874,0.0,0.0,0.4509803921568629,1.0,False,False,0.01406965960117559,0.3697799278398035,1.0,signflip_mu0p2,FedAvg
fedle_adapted,0.01981755201826874,0.09107896128492715,17.33654838719105,0.22697983284650447,21.4,0.9193718020884262,0.0,0.0,0.0157681467485008,0.015768146748501022,0.676470588235294,0.7421324278479832,False,True,0.0078840733742504,0.3585927907079445,1.0,signflip_mu0p2,FedLE-adapted
fedprox,0.03726325597611104,0.10156625752309864,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.02526564644049914,0.0165044021396166,0.0,0.0,0.4509803921568629,1.0,False,False,0.01263282322024957,0.3690615096493405,1.0,signflip_mu0p2,FedProx
random_trimmed_mean,0.5972474744613734,0.634738502805906,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.8362597634275526,0.8555852239248148,0.0,0.0,0.4509803921568629,1.0,False,True,0.4181298817137763,0.5718100388961038,1.0,signflip_mu0p2,Random Trimmed Mean
tea_fl,0.7103086502344619,0.7265031438427518,15.924063361089143,0.2774257266358583,14.5,0.7462837520006861,1.0,1.0,1.0,1.0,0.0,0.0,True,True,1.0,0.5,1.0,signflip_mu0p2,TEA-FL
