index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
0,0.1,clean,0,1,Lying,arl_fl,0.597454096605552,0.414494861970297,0.8442929292929293,ARL-FL,4.0
1,0.1,clean,0,1,Lying,fedavg,0.7646909626603826,0.28856731498638555,0.8665227641529654,FedAvg,2.0
2,0.1,clean,0,1,Lying,fedle_adapted,0.7243268496461834,0.2810472058089227,0.8454450033397403,FedLE-adapted,3.0
3,0.1,clean,0,1,Lying,fedprox,0.7939659906208758,0.1762364853858214,0.8529829168152876,FedProx,1.0
4,0.1,clean,0,1,Lying,random_trimmed_mean,0.15996201311638153,0.2621542262425549,0.01898588775845085,Random Trimmed Mean,5.0
5,0.1,clean,0,1,Lying,tea_fl,0.15426587045127488,0.3252894012201964,0.0,TEA-FL,6.0
6,0.1,clean,1,2,Sitting,arl_fl,0.31315881083455893,0.25385529627559716,0.3836377421945964,ARL-FL,1.0
7,0.1,clean,1,2,Sitting,fedavg,0.29594121756144476,0.26136595303027993,0.41024005788536216,FedAvg,3.0
8,0.1,clean,1,2,Sitting,fedle_adapted,0.27393638227674455,0.22761384307127322,0.35777217590974886,FedLE-adapted,4.0
9,0.1,clean,1,2,Sitting,fedprox,0.23418644744439635,0.251706164149143,0.20324324324324325,FedProx,5.0
10,0.1,clean,1,2,Sitting,random_trimmed_mean,0.20941253593377968,0.20144797441964887,0.22832167224119035,Random Trimmed Mean,6.0
11,0.1,clean,1,2,Sitting,tea_fl,0.29919786329022974,0.21541664147697903,0.3794063817935863,TEA-FL,2.0
12,0.1,clean,2,3,Standing,arl_fl,0.21494894910676038,0.230666548400631,0.13568481848184816,ARL-FL,4.0
13,0.1,clean,2,3,Standing,fedavg,0.22456020255425274,0.21964394408975174,0.2231705991084049,FedAvg,3.0
14,0.1,clean,2,3,Standing,fedle_adapted,0.24799166611760573,0.22644638636540082,0.3139911475763791,FedLE-adapted,1.0
15,0.1,clean,2,3,Standing,fedprox,0.24753451462138426,0.23792595843276043,0.24332300859096484,FedProx,2.0
16,0.1,clean,2,3,Standing,random_trimmed_mean,0.16600438890198013,0.2093618664753411,0.0420560747663551,Random Trimmed Mean,5.0
17,0.1,clean,2,3,Standing,tea_fl,0.09633615895151675,0.16282152893709037,0.0,TEA-FL,6.0
18,0.1,clean,3,4,Walking,arl_fl,0.8733208844954694,0.08633724818813793,0.8831120943952802,ARL-FL,1.0
19,0.1,clean,3,4,Walking,fedavg,0.803551404652343,0.2972951679433906,0.9327757314700376,FedAvg,3.0
20,0.1,clean,3,4,Walking,fedle_adapted,0.7919237583296633,0.1834377682358751,0.8156792633048419,FedLE-adapted,4.0
21,0.1,clean,3,4,Walking,fedprox,0.8103887888355482,0.2754711811442687,0.9199612582815575,FedProx,2.0
22,0.1,clean,3,4,Walking,random_trimmed_mean,0.7691104901663638,0.1837505092372388,0.8352429746933706,Random Trimmed Mean,5.0
23,0.1,clean,3,4,Walking,tea_fl,0.7450115233360776,0.2965283582883152,0.8393751283387828,TEA-FL,6.0
24,0.1,clean,4,5,Running,arl_fl,0.7082056058969547,0.37825222643599754,0.9381719009312799,ARL-FL,5.0
25,0.1,clean,4,5,Running,fedavg,0.8194844666287618,0.15913789680903692,0.8654444633056074,FedAvg,3.0
26,0.1,clean,4,5,Running,fedle_adapted,0.8389336672575887,0.3014819958581091,0.9609423240763176,FedLE-adapted,2.0
27,0.1,clean,4,5,Running,fedprox,0.9272641055400828,0.0658152025586269,0.9565067623916749,FedProx,1.0
28,0.1,clean,4,5,Running,random_trimmed_mean,0.8171543302677449,0.2905322786147962,0.9134354249313938,Random Trimmed Mean,4.0
29,0.1,clean,4,5,Running,tea_fl,0.5915618671279499,0.27674620941004374,0.648088429165399,TEA-FL,6.0
30,0.1,clean,5,6,Cycling,arl_fl,0.8256045376301492,0.16009674476120803,0.868841642228739,ARL-FL,5.0
31,0.1,clean,5,6,Cycling,fedavg,0.8934036426732972,0.0698994150250738,0.9269458288037723,FedAvg,3.0
