run_id,condition_id,outer_fold,alpha,scenario,method,method_label,fl_seed,macro_f1_auc_0_100,macro_f1_auc_20_100,balanced_accuracy_auc_0_100,active_clients_auc_0_100,mean_residual_energy_auc_0_100,macro_f1_round15,macro_f1_round20,macro_f1_round25,macro_f1_round40,macro_f1_round100,macro_f1_postattack_nadir,macro_f1_postattack_nadir_round,macro_f1_delta_round25_minus15,macro_f1_delta_round40_minus15,macro_f1_delta_round100_minus15,macro_f1_final_recovery_from_nadir,active_clients_round100,mean_residual_energy_round100,global_pressure_round20,global_pressure_round40,global_pressure_round100,global_pressure_max
1,1,1,1.0,clean,fedavg,FedAvg,123,0.6239732639845278,0.6898127100227753,0.6580224236023915,27.1,0.5618074484081035,0.5088958086787025,0.5047991879729311,0.5922759189196934,0.5917029100028561,0.8116013884444223,0.5047991879729311,20,0.0833801102409909,0.08280710132415359,0.30270557976571977,0.3068022004714912,20.0,0.2517802310073818,,,,
2,1,1,1.0,clean,fedprox,FedProx,123,0.6288398973070053,0.6932509545222962,0.6621922882093308,27.1,0.5618074484081035,0.5186906063701652,0.5138974798510362,0.623600940575133,0.6014799348371368,0.804765136097887,0.5138974798510362,20,0.10491033420496787,0.08278932846697162,0.28607452972772185,0.29086765624685085,20.0,0.2517802310073818,,,,
3,1,1,1.0,clean,random_trimmed_mean,Random Trimmed Mean,123,0.6099481088358726,0.6659129051708774,0.6499464115692543,27.1,0.5618074484081035,0.5381865285985811,0.4941778040286781,0.6185337891138191,0.6559615411197602,0.6960220941939087,0.4941778040286781,20,0.080347260515238,0.11777501252117917,0.15783556559532763,0.2018442901652306,20.0,0.2517802310073818,,,,
4,1,1,1.0,clean,fedle_adapted,FedLE-adapted,123,0.599426372531379,0.6558340986678208,0.6395407223345793,27.275,0.5605464670285893,0.4715608615712316,0.4535321096726458,0.4765844834009371,0.4993381497848305,0.7495980142438824,0.4535321096726458,20,0.005023621829705505,0.027777288213598872,0.2780371526726508,0.2960659045712366,23.0,0.2701642703163318,,,,
5,1,1,1.0,clean,tea_fl,TEA-FL,123,0.552015327767078,0.6191479411308616,0.605535772136378,26.3,0.6148292334869153,0.3569554795119594,0.423109654081634,0.4648895282686716,0.5272466124546493,0.5896406790759917,0.423109654081634,20,0.1079340487567122,0.17029113294268994,0.23268519956403233,0.16653102499435773,18.0,0.3389424232432674,,,,
6,1,1,1.0,clean,arl_fl,ARL-FL,123,0.5817145538597992,0.647875649709514,0.6251902943135821,27.675,0.5879481811780556,0.4198420078339943,0.4231805250755282,0.5778316543645089,0.6356630949374433,0.7244255553841593,0.4231805250755282,20,0.15798964653051462,0.21582108710344905,0.30458354755016503,0.3012450303086311,25.0,0.2996506930657363,0.1758709317410855,0.2459103137773307,0.2733773106079274,0.2903386612306542
7,2,1,1.0,clean,fedavg,FedAvg,456,0.6467367998082456,0.7210658974306472,0.6756199830454642,27.175,0.5327815359326127,0.4876979653147555,0.564424449778743,0.4940670015436085,0.6983094073648383,0.8564331189329115,0.4940670015436085,25,0.006369036228852987,0.21061144205008275,0.368735153618156,0.362366117389303,19.0,0.2219962195158867,,,,
8,2,1,1.0,clean,fedprox,FedProx,456,0.6376937382249032,0.7091914497493599,0.6681267072606524,27.175,0.5327815359326127,0.4845760740095494,0.5630430075172542,0.4855978976131421,0.7009719501413487,0.8067825205614851,0.4855978976131421,25,0.0010218236035927086,0.21639587613179934,0.32220644655193575,0.32118462294834305,19.0,0.2219962195158867,,,,
9,2,1,1.0,clean,random_trimmed_mean,Random Trimmed Mean,456,0.6022706719915031,0.6644534817019617,0.643409272421931,27.175,0.5327815359326127,0.4480097867206093,0.5535141234795377,0.4671802742888231,0.6674794262946767,0.7278559332991041,0.4671802742888231,25,0.019170487568213768,0.2194696395740674,0.2798461465784948,0.26067565901028106,19.0,0.2219962195158867,,,,
10,2,1,1.0,clean,fedle_adapted,FedLE-adapted,456,0.6516002333726004,0.7357381448844063,0.6811975162169694,27.65,0.5194430596004905,0.3968783680900322,0.467331471545835,0.7062486164516649,0.6827797151286775,0.83464959571285,0.467331471545835,20,0.30937024836163274,0.28590134703864534,0.43777122762281784,0.36731812416701504,24.0,0.2178586721551105,,,,
11,2,1,1.0,clean,tea_fl,TEA-FL,456,0.6044839259707319,0.6695344052758498,0.6495094062382472,25.525,0.5859010483059773,0.4537666670525717,0.6372462819844874,0.6630803628983435,0.6438714750449821,0.6733226431029312,0.586798517833034,30,0.2093136958457718,0.19010480799241042,0.21955597605035954,0.08652412526989717,17.0,0.300182736703633,,,,
