run_id,outer_fold,alpha,scenario,method,fl_seed,early_stop_round,completed_training_rounds,run_result_binding_sha256
95,1,0.1,signflip_mu0p4,tea_fl,456,97,96,98460D0FD59B4BA5BD3DF14B1F7D9A654C79F04B58961C340D02C5B4829F78FC
149,2,1.0,signflip_mu0p4,tea_fl,123,99,98,9D7DC98E70B07FBEB237AB00F33B0EF507CEE0E06829BC489E768AC668DCC41D
209,2,0.1,signflip_mu0p4,tea_fl,123,98,97,0B3839BFB42283D7ECA0E9EA06D1039F245005E5F037B31F1E6289E585895ACA
241,3,1.0,clean,fedavg,123,98,97,1E9230A2E0070A627906853F4216C6059DB31DD60E74CD7F9DE9D5347343A28E
242,3,1.0,clean,fedprox,123,98,97,3EE488937FB6FB0BDDD601D8ABBDA4F5D4BABC33A286A2B51D964761355E91E4
243,3,1.0,clean,random_trimmed_mean,123,98,97,8D0FF11BFF544DF3EDCB09D69ABA07B8753879FF1CAFC6522D9E29F677A65CFA
245,3,1.0,clean,tea_fl,123,93,92,7CEFF39327C44B089AA1708749BEB6011C6D19B94FCB7DEA80543543FD097886
253,3,1.0,signflip_mu0p2,fedavg,123,98,97,DC14C840BE95EB06E90C267F11D3C08D4FF18C72517D23A47C98EC0735FC0290
254,3,1.0,signflip_mu0p2,fedprox,123,98,97,8F01C2E1940096BF20D81BFCE32F60EA708CFD02A669797A7A6D96BE8D622D27
255,3,1.0,signflip_mu0p2,random_trimmed_mean,123,98,97,AE76CC5B37907A0C33C19806A9F24A282A657736BA74F132C7E182AE7FD7E61D
257,3,1.0,signflip_mu0p2,tea_fl,123,95,94,64F65B455F3C199AA31FF153144EFC0A0FAA0682834AC9760A0DF6B892448072
265,3,1.0,signflip_mu0p4,fedavg,123,98,97,E603165F268859A3C4B0E84026CE4A95DA95F508C269081A63717170B3B7A04B
266,3,1.0,signflip_mu0p4,fedprox,123,98,97,8E974054DDB28DDF6183B9463470FB53BE1BCA9B2AEF09EFE24022E13C894EF6
267,3,1.0,signflip_mu0p4,random_trimmed_mean,123,98,97,5BE2FB50FD09103D5316D47CBCFE1475CCB91967CBC401411F38878C44BCD3F9
269,3,1.0,signflip_mu0p4,tea_fl,123,94,93,DEF31E923E64D0021D9BC1F32237F18E02BDDC81BD0B21FB8F3E5F2BE2162081
277,3,1.0,labelflip_mu0p2,fedavg,123,98,97,691EC31F54D1238BB83AB086401E710F62D581CB7B78419CBAFA0ED074553E9B
278,3,1.0,labelflip_mu0p2,fedprox,123,98,97,56E4ECB9AFF9935B05FDD1EA958CB039D66310F1A4CBAAACBC5087C43CBC9844
279,3,1.0,labelflip_mu0p2,random_trimmed_mean,123,98,97,64CB80C2319184806FE97CEABE8EA1DC12EBED3AB976A7EA784D9623A8524F67
281,3,1.0,labelflip_mu0p2,tea_fl,123,96,95,6FC01CA610A792042ABE0C72B1A484E51EB55F0CDD87BEA9B4AEBCCED01E5602
289,3,1.0,labelflip_mu0p4,fedavg,123,98,97,56D83573245DAC8D57A070E9DD031C2D89C84E0A2DC8C6F5B6DD57FB1C3FB286
290,3,1.0,labelflip_mu0p4,fedprox,123,98,97,001A586464D6E3B402949C0C9CBF6B9FFE79586BFE29F18C7FE996CD937E65D3
291,3,1.0,labelflip_mu0p4,random_trimmed_mean,123,98,97,29EA4056E1B85A35DC796BB75BBAB197CD6D204F2B3B4BD08B6EE85C95E7D224
293,3,1.0,labelflip_mu0p4,tea_fl,123,93,92,D3B3555E535A082C0FCC58357AB4CC76E940CE5A98FD43563FEBB9195E61811E
329,3,0.1,signflip_mu0p4,tea_fl,123,99,98,2558FB459CCD781865FB0EC8E5721F2931C73B8D29663294F84B230D0C927867
389,4,1.0,signflip_mu0p4,tea_fl,123,100,99,D05D14824EC9CE4116396A9781AE8B9093CDC43CF24992C41700C9E5185C674A
419,4,1.0,labelflip_mu0p4,tea_fl,456,100,99,84CD760DFB54D4FF85AAAF3AA8C7A6FC0D3A8288437EDFAE08158D36B8B64A71
449,4,0.1,signflip_mu0p4,tea_fl,123,98,97,FF5F6D5FB2154E4203B74913CA73A2F4E00F6E88FBF6C8549682D1D919364238
575,5,0.1,signflip_mu0p4,tea_fl,456,95,94,7D92DD886EB53442A0A1196772AD96627C9A7D633FB983F1D089B137A2643460
