run_id,condition_id,outer_fold,alpha,scenario,method,fl_seed,class_index,class_f1
1,1,1,1.0,clean,fedavg,123,0,0.7988668555240793
1,1,1,1.0,clean,fedavg,123,1,0.2830188679245283
1,1,1,1.0,clean,fedavg,123,2,0.5889101338432122
1,1,1,1.0,clean,fedavg,123,3,0.9190751445086706
1,1,1,1.0,clean,fedavg,123,4,0.9655172413793104
1,1,1,1.0,clean,fedavg,123,5,0.9577464788732394
1,1,1,1.0,clean,fedavg,123,6,0.9240924092409241
1,1,1,1.0,clean,fedavg,123,7,0.825531914893617
1,1,1,1.0,clean,fedavg,123,8,0.8682926829268293
1,1,1,1.0,clean,fedavg,123,9,0.9111747851002865
1,1,1,1.0,clean,fedavg,123,10,0.7615062761506276
1,1,1,1.0,clean,fedavg,123,11,0.9354838709677419
2,1,1,1.0,clean,fedprox,123,0,0.792022792022792
2,1,1,1.0,clean,fedprox,123,1,0.25
2,1,1,1.0,clean,fedprox,123,2,0.5681381957773513
2,1,1,1.0,clean,fedprox,123,3,0.9190751445086706
2,1,1,1.0,clean,fedprox,123,4,0.9622641509433962
2,1,1,1.0,clean,fedprox,123,5,0.96045197740113
2,1,1,1.0,clean,fedprox,123,6,0.9235880398671097
2,1,1,1.0,clean,fedprox,123,7,0.8305084745762712
2,1,1,1.0,clean,fedprox,123,8,0.8695652173913043
2,1,1,1.0,clean,fedprox,123,9,0.9048991354466859
2,1,1,1.0,clean,fedprox,123,10,0.746938775510204
2,1,1,1.0,clean,fedprox,123,11,0.9297297297297298
3,1,1,1.0,clean,random_trimmed_mean,123,0,0.7977207977207977
3,1,1,1.0,clean,random_trimmed_mean,123,1,0.09424083769633508
3,1,1,1.0,clean,random_trimmed_mean,123,2,0.5698324022346368
3,1,1,1.0,clean,random_trimmed_mean,123,3,0.9262536873156342
3,1,1,1.0,clean,random_trimmed_mean,123,4,0.8774928774928775
3,1,1,1.0,clean,random_trimmed_mean,123,5,0.9497206703910615
3,1,1,1.0,clean,random_trimmed_mean,123,6,0.9240924092409241
3,1,1,1.0,clean,random_trimmed_mean,123,7,0.6870748299319728
3,1,1,1.0,clean,random_trimmed_mean,123,8,0.8815165876777251
3,1,1,1.0,clean,random_trimmed_mean,123,9,0.8953488372093024
3,1,1,1.0,clean,random_trimmed_mean,123,10,0.7489711934156379
3,1,1,1.0,clean,random_trimmed_mean,123,11,0.0
4,1,1,1.0,clean,fedle_adapted,123,0,0.8378378378378378
4,1,1,1.0,clean,fedle_adapted,123,1,0.5861182519280206
4,1,1,1.0,clean,fedle_adapted,123,2,0.5196374622356495
4,1,1,1.0,clean,fedle_adapted,123,3,0.9461077844311377
4,1,1,1.0,clean,fedle_adapted,123,4,0.77
4,1,1,1.0,clean,fedle_adapted,123,5,0.9505494505494505
4,1,1,1.0,clean,fedle_adapted,123,6,0.9240924092409241
4,1,1,1.0,clean,fedle_adapted,123,7,0.9217391304347826
4,1,1,1.0,clean,fedle_adapted,123,8,0.8663594470046083
4,1,1,1.0,clean,fedle_adapted,123,9,0.8925619834710744
4,1,1,1.0,clean,fedle_adapted,123,10,0.7801724137931034
4,1,1,1.0,clean,fedle_adapted,123,11,0.0
5,1,1,1.0,clean,tea_fl,123,0,0.8011363636363636
5,1,1,1.0,clean,tea_fl,123,1,0.1568627450980392
5,1,1,1.0,clean,tea_fl,123,2,0.398989898989899
5,1,1,1.0,clean,tea_fl,123,3,0.8518518518518519
5,1,1,1.0,clean,tea_fl,123,4,0.8415300546448088
5,1,1,1.0,clean,tea_fl,123,5,0.9545454545454546
5,1,1,1.0,clean,tea_fl,123,6,0.6666666666666666
5,1,1,1.0,clean,tea_fl,123,7,0.6389776357827476
5,1,1,1.0,clean,tea_fl,123,8,0.20634920634920634
5,1,1,1.0,clean,tea_fl,123,9,0.8733850129198967
5,1,1,1.0,clean,tea_fl,123,10,0.6853932584269663
5,1,1,1.0,clean,tea_fl,123,11,0.0
6,1,1,1.0,clean,arl_fl,123,0,0.8264462809917356
6,1,1,1.0,clean,arl_fl,123,1,0.6160337552742616
6,1,1,1.0,clean,arl_fl,123,2,0.358974358974359
6,1,1,1.0,clean,arl_fl,123,3,0.9384164222873901
6,1,1,1.0,clean,arl_fl,123,4,0.8717948717948718
6,1,1,1.0,clean,arl_fl,123,5,0.957983193277311
6,1,1,1.0,clean,arl_fl,123,6,0.9042904290429042
6,1,1,1.0,clean,arl_fl,123,7,0.8489795918367347
6,1,1,1.0,clean,arl_fl,123,8,0.6482213438735178
6,1,1,1.0,clean,arl_fl,123,9,0.9157303370786517
6,1,1,1.0,clean,arl_fl,123,10,0.8062360801781737
6,1,1,1.0,clean,arl_fl,123,11,0.0
7,2,1,1.0,clean,fedavg,456,0,0.8222222222222222
7,2,1,1.0,clean,fedavg,456,1,0.7034482758620689
7,2,1,1.0,clean,fedavg,456,2,0.6694736842105263
7,2,1,1.0,clean,fedavg,456,3,0.9408284023668639
7,2,1,1.0,clean,fedavg,456,4,0.9595015576323987
7,2,1,1.0,clean,fedavg,456,5,0.9637883008356546
7,2,1,1.0,clean,fedavg,456,6,0.9121621621621622
7,2,1,1.0,clean,fedavg,456,7,0.8171206225680934
7,2,1,1.0,clean,fedavg,456,8,0.845771144278607
7,2,1,1.0,clean,fedavg,456,9,0.9159420289855073
7,2,1,1.0,clean,fedavg,456,10,0.8208616780045351
7,2,1,1.0,clean,fedavg,456,11,0.9060773480662984
8,2,1,1.0,clean,fedprox,456,0,0.8156424581005587
8,2,1,1.0,clean,fedprox,456,1,0.1941747572815534
8,2,1,1.0,clean,fedprox,456,2,0.5787545787545788
8,2,1,1.0,clean,fedprox,456,3,0.9248554913294798
8,2,1,1.0,clean,fedprox,456,4,0.9595015576323987
8,2,1,1.0,clean,fedprox,456,5,0.9637883008356546
8,2,1,1.0,clean,fedprox,456,6,0.92
8,2,1,1.0,clean,fedprox,456,7,0.847457627118644
8,2,1,1.0,clean,fedprox,456,8,0.8436018957345972
8,2,1,1.0,clean,fedprox,456,9,0.927536231884058
8,2,1,1.0,clean,fedprox,456,10,0.8
8,2,1,1.0,clean,fedprox,456,11,0.9060773480662984
9,2,1,1.0,clean,random_trimmed_mean,456,0,0.7202380952380952
9,2,1,1.0,clean,random_trimmed_mean,456,1,0.5969387755102041
9,2,1,1.0,clean,random_trimmed_mean,456,2,0.4657534246575342
9,2,1,1.0,clean,random_trimmed_mean,456,3,0.9436201780415431
9,2,1,1.0,clean,random_trimmed_mean,456,4,0.9595015576323987
9,2,1,1.0,clean,random_trimmed_mean,456,5,0.953168044077135
9,2,1,1.0,clean,random_trimmed_mean,456,6,0.9306930693069307
9,2,1,1.0,clean,random_trimmed_mean,456,7,0.8666666666666667
9,2,1,1.0,clean,random_trimmed_mean,456,8,0.6305084745762712
9,2,1,1.0,clean,random_trimmed_mean,456,9,0.9014925373134328
9,2,1,1.0,clean,random_trimmed_mean,456,10,0.7656903765690377
9,2,1,1.0,clean,random_trimmed_mean,456,11,0.0
10,2,1,1.0,clean,fedle_adapted,456,0,0.8351648351648352
10,2,1,1.0,clean,fedle_adapted,456,1,0.6018099547511312
10,2,1,1.0,clean,fedle_adapted,456,2,0.3888888888888889
10,2,1,1.0,clean,fedle_adapted,456,3,0.9560117302052786
10,2,1,1.0,clean,fedle_adapted,456,4,0.9595015576323987
10,2,1,1.0,clean,fedle_adapted,456,5,0.969187675070028
10,2,1,1.0,clean,fedle_adapted,456,6,0.9140893470790378
10,2,1,1.0,clean,fedle_adapted,456,7,0.8770491803278688
10,2,1,1.0,clean,fedle_adapted,456,8,0.8990825688073395
10,2,1,1.0,clean,fedle_adapted,456,9,0.9261363636363636
10,2,1,1.0,clean,fedle_adapted,456,10,0.7827956989247312
10,2,1,1.0,clean,fedle_adapted,456,11,0.9060773480662984
11,2,1,1.0,clean,tea_fl,456,0,0.7977207977207977
11,2,1,1.0,clean,tea_fl,456,1,0.0
