run_id,run_name,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_file_manifest_sha256
1,run_001__fold1__alpha1p0__clean__fedavg__seed123,6034,F2D6F4F2ACFD29EB1FC41A167CCDA75C609CD669E521CCA80765FC35E68EDD58,E75E73E24395665CA5C3AFCD683CF35C4D4FD814A562F05DC789247FF5F32A45
2,run_002__fold1__alpha1p0__clean__fedprox__seed123,6034,84A7707C2EB3CA591FF5AF759932FD36679C8A42C2DD15DC45E0F2A7EE0523FA,BDFAC939862861365EE1138C48C5B3F9F8D39A9158A3FFAFA7B315B136C28B73
3,run_003__fold1__alpha1p0__clean__random_trimmed_mean__seed123,6034,751872F9F346343D678732635D62225972771DB8315D91E17950EE6E3FE73884,314C2B7D2A342968DA32AF16C005002FB0A13FA5353F20CF09ED11E3A49CD12E
4,run_004__fold1__alpha1p0__clean__fedle_adapted__seed123,5851,ACAD52F7A05288CC9E9272CF791543B1E7DC0132D2EB319F40AA08054B14FD5C,FA1B9A3CA219B96BB309CA39C55F696F167FBEEE579DF404D5C20913DD5A1AE2
5,run_005__fold1__alpha1p0__clean__tea_fl__seed123,5143,2E9A8F989829E47D6E1C0DD8D24E444D50301ACDA7005B2D26DEC8AE15E34230,92A475FB1F6FF6A5281404298195FDC3B245D635B9BDC1680B2A52739247BE20
6,run_006__fold1__alpha1p0__clean__arl_fl__seed123,5533,7E537D9C9CFE1E46CCF67122CF04C254927F81535166ED8492E015E071EEAE63,38A7B33E099A79EBAD55B9C025BF1677CBAEB15D93F42FD4E27AFA6E5D3B36CC
7,run_007__fold1__alpha1p0__clean__fedavg__seed456,6027,0AC7E83A54250C1AB7AEDD9EA20FC7F350F9A333C6E348EB5846265721FE585E,86711134BF7253EA5DC85B2310F0A7B011A9B285E78D8F70B73B89162BAC98EA
8,run_008__fold1__alpha1p0__clean__fedprox__seed456,6027,7D5BF14EE7CF1BBB3E00B7F4F4B8BFBF3E0D0F83C2A1D0689967068A6A06763A,D1F578AABC13193BA7733C692B88BDC4C6A82D93974F9C8092FA47387A46BC97
9,run_009__fold1__alpha1p0__clean__random_trimmed_mean__seed456,6027,A4098EAF5531F41CE17149D369AE0A793B9CF7016E61EF6779F53053209DC130,54F8008172E22099C5AC4AF9ECD7E51195AF040280549F61DEAC2329D9045E8B
10,run_010__fold1__alpha1p0__clean__fedle_adapted__seed456,6051,7ACC9F1F30017B4A2FC5C7539A0A9BAA5539D20DD8CFBD18FD44DC7F36361F4E,17178938BEE1083BB36BDE2A8E7D8BAE23BC85073C24E133FFBFC8BB3379BDD1
11,run_011__fold1__alpha1p0__clean__tea_fl__seed456,5198,4C30245798B4B0FEADE7F2DB1E020A571997697132A471A9B7E33AF963BC0F3E,B0B8E62F58517697345EDF6F4DED2664717ABB41B80E0840A3F49BA527299A46
12,run_012__fold1__alpha1p0__clean__arl_fl__seed456,5551,336853419D9EA214D355E1ED69B58BFC2F123769E18605BFE40F29335C473390,251E4A78D9DD461C669BAA9CA999CCC58F342100442D47F1047B1CD5A5244B28
13,run_013__fold1__alpha1p0__signflip_mu0p2__fedavg__seed123,6034,34218F32DC854DD06866EA6229A2D46E5B93942EECD1483CEC55EC7265ADD9FB,0D7FB0B7E8F2A45CA86764741049D991D326AD5F769CA1FC04CDBECF2788D48C
14,run_014__fold1__alpha1p0__signflip_mu0p2__fedprox__seed123,6034,47EFA82DD6359CAB51F022610037698562A59EF68D416C5A6E0C9EE105DFD446,F905B91FD0CB049FB01AF71BF535DBF31A697070A94244FA9528856434F80821
15,run_015__fold1__alpha1p0__signflip_mu0p2__random_trimmed_mean__seed123,6034,A988174AC05547BDFDD1B771AA0409CAA8A6652D53CC495C8B932DD54FFEF847,5483A9A3A53F936E8E29D983AA21DE0E0EA1635CC57567622DDEA548DF4C5D68
16,run_016__fold1__alpha1p0__signflip_mu0p2__fedle_adapted__seed123,5851,D186C97F358DDA9A548B95DFF3886EBD35C0693FB569773AD246946B9289A1E8,AA97B8F553E32273451564CE33534D0525D01C22BEDDD7D189F06A79C46D77AF
