scenario,comparison,baseline,n_seed_blocks,arl_mean,baseline_mean,mean_difference,bootstrap_95ci_low,bootstrap_95ci_high,n_nonzero,wins,ties,losses,rank_biserial,p_exact_two_sided,p_sign_two_sided,hodges_lehmann,p_holm_five_planned
CLEAN,ARL_FL - FEDAVG,FEDAVG,5,0.4937687286998,0.4910622133685,0.00270651533130003,9.706945670000522e-05,0.0043435245837000315,5,4,0,1,0.8666666666666667,0.125,0.375,0.00371356888150004,0.5
CLEAN,ARL_FL - FEDPROX,FEDPROX,5,0.4937687286998,0.5105552908242,-0.01678656212439994,-0.0425713837565999,0.004889969214000045,5,2,0,3,-0.4666666666666667,0.4375,1.0,-0.014290357300499934,0.625
CLEAN,ARL_FL - RANDOM_TRIMMED_MEAN,RANDOM_TRIMMED_MEAN,5,0.4937687286998,0.4795070302886,0.014261698411200053,0.0001485327916000534,0.03454911732400005,5,3,0,2,0.6,0.3125,1.0,0.007043294881500073,0.625
CLEAN,ARL_FL - FEDLE_ADAPTED,FEDLE_ADAPTED,5,0.4937687286998,0.49034931774169993,0.003419410958100044,0.0002729523306000181,0.0060006728885000585,5,4,0,1,0.8666666666666667,0.125,0.375,0.0037863124257500602,0.5
CLEAN,ARL_FL - TEA_FL,TEA_FL,5,0.4937687286998,0.41027920615799995,0.08348952254180005,0.04562034245890001,0.12135870262470008,5,5,0,0,1.0,0.0625,0.0625,0.08374818737300005,0.3125
SIGNFLIP_MU0P2,ARL_FL - FEDAVG,FEDAVG,5,0.4215064489357,0.3610421961358,0.060464252799899997,0.02871027076160001,0.0848563832942,5,5,0,0,1.0,0.0625,0.0625,0.06581574978799998,0.3125
SIGNFLIP_MU0P2,ARL_FL - FEDPROX,FEDPROX,5,0.4215064489357,0.3576625066246,0.06384394231110001,0.03700605009510003,0.08366200451380001,5,5,0,0,1.0,0.0625,0.0625,0.07120401585599997,0.3125
SIGNFLIP_MU0P2,ARL_FL - RANDOM_TRIMMED_MEAN,RANDOM_TRIMMED_MEAN,5,0.4215064489357,0.42853128026949994,-0.007024831333800008,-0.025961878243899984,0.005028773355999961,5,2,0,3,-0.2,0.8125,1.0,-0.0005817913910000083,1.0
SIGNFLIP_MU0P2,ARL_FL - FEDLE_ADAPTED,FEDLE_ADAPTED,5,0.4215064489357,0.3586831454105,0.06282330352519999,0.030752536169800004,0.08544682875359998,5,5,0,0,1.0,0.0625,0.0625,0.067509769665,0.3125
SIGNFLIP_MU0P2,ARL_FL - TEA_FL,TEA_FL,5,0.4215064489357,0.4303496018624,-0.008843152926699993,-0.032654952356700004,0.004701193493400013,5,3,0,2,0.2,0.8125,1.0,0.001258270683250018,1.0
SIGNFLIP_MU0P4,ARL_FL - FEDAVG,FEDAVG,5,0.3515820116292,0.34602618943880004,0.005555822190399984,-0.022206417363999996,0.038541254371299974,5,2,0,3,0.06666666666666667,1.0,1.0,0.0020602735667499816,1.0
SIGNFLIP_MU0P4,ARL_FL - FEDPROX,FEDPROX,5,0.3515820116292,0.33522974293549995,0.01635226869369999,0.009659610333299994,0.02513882150519998,5,5,0,0,1.0,0.0625,0.0625,0.014992434923999987,0.3125
SIGNFLIP_MU0P4,ARL_FL - RANDOM_TRIMMED_MEAN,RANDOM_TRIMMED_MEAN,5,0.3515820116292,0.35237986056099996,-0.0007978489318000049,-0.005949162999900004,0.0036356759395999917,5,3,0,2,0.06666666666666667,1.0,1.0,3.37473725000037e-05,1.0
SIGNFLIP_MU0P4,ARL_FL - FEDLE_ADAPTED,FEDLE_ADAPTED,5,0.3515820116292,0.34994246379469995,0.001639547834499977,-0.022542122797300012,0.02557941985549995,5,2,0,3,0.06666666666666667,1.0,1.0,0.002061950165750004,1.0
SIGNFLIP_MU0P4,ARL_FL - TEA_FL,TEA_FL,5,0.3515820116292,0.35299190160759997,-0.0014098899784000141,-0.007936470480000003,0.0037213791187999724,5,3,0,2,-0.06666666666666667,1.0,1.0,-2.8303103000004715e-05,1.0
