scenario_id,experimental_seed,method,macro_f1_alpha_average
CLEAN,42,ARL_FL,0.46960796222900003
CLEAN,42,FEDAVG,0.4658733558405
CLEAN,42,FEDLE_ADAPTED,0.46681312595049995
CLEAN,42,FEDPROX,0.50126832656
CLEAN,42,RANDOM_TRIMMED_MEAN,0.46983678512099997
CLEAN,42,TEA_FL,0.4198948789265
CLEAN,123,ARL_FL,0.5065236200950001
CLEAN,123,FEDAVG,0.5033892029275
CLEAN,123,FEDLE_ADAPTED,0.501745831522
CLEAN,123,FEDPROX,0.567949021489
CLEAN,123,RANDOM_TRIMMED_MEAN,0.49220820744
CLEAN,123,TEA_FL,0.36948887504399996
CLEAN,456,ARL_FL,0.49448676655150003
CLEAN,456,FEDAVG,0.489787978882
CLEAN,456,FEDLE_ADAPTED,0.49005841468300004
CLEAN,456,FEDPROX,0.4822695253145
CLEAN,456,RANDOM_TRIMMED_MEAN,0.49689541747349997
CLEAN,456,TEA_FL,0.426734480252
CLEAN,789,ARL_FL,0.484241577387
CLEAN,789,FEDAVG,0.48656953255150004
CLEAN,789,FEDLE_ADAPTED,0.486738891415
CLEAN,789,FEDPROX,0.490385513251
CLEAN,789,RANDOM_TRIMMED_MEAN,0.478223965801
CLEAN,789,TEA_FL,0.45377994769200003
CLEAN,999,ARL_FL,0.5139837172365
CLEAN,999,FEDAVG,0.509690996641
CLEAN,999,FEDLE_ADAPTED,0.506390325138
CLEAN,999,FEDPROX,0.5109040675065
CLEAN,999,RANDOM_TRIMMED_MEAN,0.4603707756075
CLEAN,999,TEA_FL,0.3814978488755
SIGNFLIP_MU0P2,42,ARL_FL,0.4056977544075
SIGNFLIP_MU0P2,42,FEDAVG,0.35068344139
SIGNFLIP_MU0P2,42,FEDLE_ADAPTED,0.3381879847425
SIGNFLIP_MU0P2,42,FEDPROX,0.34567832743750004
SIGNFLIP_MU0P2,42,RANDOM_TRIMMED_MEAN,0.448646728924
SIGNFLIP_MU0P2,42,TEA_FL,0.4616881040715
SIGNFLIP_MU0P2,123,ARL_FL,0.3463027706285
SIGNFLIP_MU0P2,123,FEDAVG,0.344044652776
SIGNFLIP_MU0P2,123,FEDLE_ADAPTED,0.3440223701115
SIGNFLIP_MU0P2,123,FEDPROX,0.33423034806249996
SIGNFLIP_MU0P2,123,RANDOM_TRIMMED_MEAN,0.3467840044635
SIGNFLIP_MU0P2,123,TEA_FL,0.343694901103
SIGNFLIP_MU0P2,456,ARL_FL,0.48388638664
SIGNFLIP_MU0P2,456,FEDAVG,0.3864159905315
SIGNFLIP_MU0P2,456,FEDLE_ADAPTED,0.38648151849400003
SIGNFLIP_MU0P2,456,FEDPROX,0.401497781898
SIGNFLIP_MU0P2,456,RANDOM_TRIMMED_MEAN,0.47441675217550006
SIGNFLIP_MU0P2,456,TEA_FL,0.476716760659
SIGNFLIP_MU0P2,789,ARL_FL,0.4675575753925
SIGNFLIP_MU0P2,789,FEDAVG,0.38579488815949997
SIGNFLIP_MU0P2,789,FEDLE_ADAPTED,0.386079600671
SIGNFLIP_MU0P2,789,FEDPROX,0.37876401958499994
SIGNFLIP_MU0P2,789,RANDOM_TRIMMED_MEAN,0.470341378171
SIGNFLIP_MU0P2,789,TEA_FL,0.4654691577095
SIGNFLIP_MU0P2,999,ARL_FL,0.40408775761
SIGNFLIP_MU0P2,999,FEDAVG,0.338272007822
SIGNFLIP_MU0P2,999,FEDLE_ADAPTED,0.3386442530335
SIGNFLIP_MU0P2,999,FEDPROX,0.32814205613999997
SIGNFLIP_MU0P2,999,RANDOM_TRIMMED_MEAN,0.40246753761349996
SIGNFLIP_MU0P2,999,TEA_FL,0.40417908576899997
SIGNFLIP_MU0P4,42,ARL_FL,0.344051569415
SIGNFLIP_MU0P4,42,FEDAVG,0.3380990429395
SIGNFLIP_MU0P4,42,FEDLE_ADAPTED,0.33818788287699997
SIGNFLIP_MU0P4,42,FEDPROX,0.329059134491
SIGNFLIP_MU0P4,42,RANDOM_TRIMMED_MEAN,0.3447574962015
SIGNFLIP_MU0P4,42,TEA_FL,0.337760651061
SIGNFLIP_MU0P4,123,ARL_FL,0.34373194278999997
SIGNFLIP_MU0P4,123,FEDAVG,0.344044652776
SIGNFLIP_MU0P4,123,FEDLE_ADAPTED,0.3440223701115
SIGNFLIP_MU0P4,123,FEDPROX,0.33423034806249996
SIGNFLIP_MU0P4,123,RANDOM_TRIMMED_MEAN,0.34295852125849996
SIGNFLIP_MU0P4,123,TEA_FL,0.34348236998599996
SIGNFLIP_MU0P4,456,ARL_FL,0.3386775460025
SIGNFLIP_MU0P4,456,FEDAVG,0.377568180439
SIGNFLIP_MU0P4,456,FEDLE_ADAPTED,0.3776223841085
SIGNFLIP_MU0P4,456,FEDPROX,0.321864574289
SIGNFLIP_MU0P4,456,RANDOM_TRIMMED_MEAN,0.3488903137405
SIGNFLIP_MU0P4,456,TEA_FL,0.3520016275845
SIGNFLIP_MU0P4,789,ARL_FL,0.39597911538999997
SIGNFLIP_MU0P4,789,FEDAVG,0.333117207149
SIGNFLIP_MU0P4,789,FEDLE_ADAPTED,0.35267001112150004
SIGNFLIP_MU0P4,789,FEDPROX,0.362852601695
SIGNFLIP_MU0P4,789,RANDOM_TRIMMED_MEAN,0.389942153739
SIGNFLIP_MU0P4,789,TEA_FL,0.3962852944
SIGNFLIP_MU0P4,999,ARL_FL,0.33546988454849996
SIGNFLIP_MU0P4,999,FEDAVG,0.3373018638905
SIGNFLIP_MU0P4,999,FEDLE_ADAPTED,0.33720967075499997
SIGNFLIP_MU0P4,999,FEDPROX,0.32814205613999997
SIGNFLIP_MU0P4,999,RANDOM_TRIMMED_MEAN,0.3353508178655
SIGNFLIP_MU0P4,999,TEA_FL,0.3354295650065
