FileID,RelativePath,OriginalFineClass,effective_observations_train,effective_observations_validation,effective_observations_test,effective_observation_file_associations,percent_train_within_source_file,percent_validation_within_source_file,percent_test_within_source_file,partitions_present,partition_presence_mask
0,Backdoor_Malware/Backdoor_Malware.pcap.csv,Backdoor_Malware,2558,305,330,3193,80.11274663326026,9.552145317882868,10.335108048856874,3,7
1,Benign_Final/BenignTraffic.pcap.csv,Benign_Final,288083,36041,36068,360192,79.98039934257285,10.006052327647478,10.013548329779674,3,7
2,Benign_Final/BenignTraffic1.pcap.csv,Benign_Final,235822,29276,29376,294474,80.08245210103439,9.941794521757439,9.975753377208175,3,7
3,Benign_Final/BenignTraffic2.pcap.csv,Benign_Final,247752,30993,31043,309788,79.97469237026611,10.00458377987527,10.020723849858612,3,7
4,Benign_Final/BenignTraffic3.pcap.csv,Benign_Final,103657,13104,12902,129663,79.94339171544696,10.106198375789546,9.950409908763486,3,7
5,BrowserHijacking/BrowserHijacking.pcap.csv,BrowserHijacking,4530,560,612,5702,79.44580848824974,9.821115398105928,10.733076113644335,3,7
6,CommandInjection/CommandInjection.pcap.csv,CommandInjection,4355,502,526,5383,80.9028422812558,9.325654839308935,9.771502879435259,3,7
7,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation.pcap.csv,DDoS-ACK_Fragmentation,20052,2482,2551,25085,79.93621686266694,9.894359178792106,10.16942395854096,3,7
8,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation1.pcap.csv,DDoS-ACK_Fragmentation,17997,2174,2234,22405,80.3258201294354,9.703191251952688,9.970988618611917,3,7
9,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation10.pcap.csv,DDoS-ACK_Fragmentation,18129,2331,2279,22739,79.72646114604863,10.251110427019658,10.022428426931704,3,7
10,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation11.pcap.csv,DDoS-ACK_Fragmentation,18105,2353,2289,22747,79.59291335121115,10.344221215984525,10.062865432804326,3,7
11,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation12.pcap.csv,DDoS-ACK_Fragmentation,7580,952,949,9481,79.94937242906866,10.04113490138171,10.009492669549626,3,7
12,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation2.pcap.csv,DDoS-ACK_Fragmentation,18064,2343,2137,22544,80.1277501774308,10.393009226401704,9.479240596167495,3,7
13,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation3.pcap.csv,DDoS-ACK_Fragmentation,18243,2295,2272,22810,79.97807978956598,10.061376589215257,9.960543621218763,3,7
14,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation4.pcap.csv,DDoS-ACK_Fragmentation,17963,2254,2252,22469,79.94570296853442,10.031599092082425,10.02269793938315,3,7
15,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation5.pcap.csv,DDoS-ACK_Fragmentation,17526,2209,2202,21937,79.89241920043762,10.069745179377307,10.037835620185076,3,7
16,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation6.pcap.csv,DDoS-ACK_Fragmentation,17673,2247,2199,22119,79.89963379899633,10.158687101586871,9.941679099416792,3,7
17,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation7.pcap.csv,DDoS-ACK_Fragmentation,17756,2276,2204,22236,79.85249145529771,10.235653894585358,9.911854650116927,3,7
18,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation8.pcap.csv,DDoS-ACK_Fragmentation,17891,2273,2286,22450,79.69265033407572,10.124721603563474,10.182628062360802,3,7
19,DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation9.pcap.csv,DDoS-ACK_Fragmentation,20642,2585,2652,25879,79.76351481896518,9.98879400285946,10.247691178175355,3,7
20,DDoS-HTTP_Flood/DDoS-HTTP_Flood-.pcap.csv,DDoS-HTTP_Flood,23023,2894,2873,28790,79.96873914553665,10.052101424105592,9.979159430357763,3,7
21,DDoS-ICMP_Flood/DDoS-ICMP_Flood.pcap.csv,DDoS-ICMP_Flood,106311,13315,13162,132788,80.0606982558665,10.02726149953309,9.912040244600416,3,7
22,DDoS-ICMP_Flood/DDoS-ICMP_Flood1.pcap.csv,DDoS-ICMP_Flood,99155,12508,12392,124055,79.92825762766515,10.082624642295755,9.989117730039096,3,7
23,DDoS-ICMP_Flood/DDoS-ICMP_Flood10.pcap.csv,DDoS-ICMP_Flood,119380,15033,14736,149149,80.04076460452299,10.07918256240404,9.880052833072968,3,7
24,DDoS-ICMP_Flood/DDoS-ICMP_Flood11.pcap.csv,DDoS-ICMP_Flood,118988,14846,14916,148750,79.99193277310924,9.980504201680672,10.027563025210084,3,7
25,DDoS-ICMP_Flood/DDoS-ICMP_Flood12.pcap.csv,DDoS-ICMP_Flood,115789,14817,14512,145118,79.78955057263744,10.21031160848413,10.00013781887843,3,7
26,DDoS-ICMP_Flood/DDoS-ICMP_Flood13.pcap.csv,DDoS-ICMP_Flood,109991,13870,13756,137617,79.92544525749,10.078696672649455,9.995858069860555,3,7
27,DDoS-ICMP_Flood/DDoS-ICMP_Flood14.pcap.csv,DDoS-ICMP_Flood,114365,14253,14186,142804,80.085291728523,9.980812862384807,9.933895409092182,3,7
28,DDoS-ICMP_Flood/DDoS-ICMP_Flood15.pcap.csv,DDoS-ICMP_Flood,107084,13352,13288,133724,80.07837037480184,9.984744698034758,9.936884927163412,3,7
29,DDoS-ICMP_Flood/DDoS-ICMP_Flood16.pcap.csv,DDoS-ICMP_Flood,100699,12619,12712,126030,79.90081726573038,10.012695389986511,10.086487344283107,3,7
30,DDoS-ICMP_Flood/DDoS-ICMP_Flood17.pcap.csv,DDoS-ICMP_Flood,101398,12741,12588,126727,80.0129412043211,10.053895381410433,9.933163414268467,3,7
31,DDoS-ICMP_Flood/DDoS-ICMP_Flood18.pcap.csv,DDoS-ICMP_Flood,102168,12814,12802,127784,79.95367182119827,10.027859512928066,10.018468665873662,3,7
32,DDoS-ICMP_Flood/DDoS-ICMP_Flood19.pcap.csv,DDoS-ICMP_Flood,112521,13951,14094,140566,80.04851813383037,9.92487514761749,10.02660671855214,3,7
33,DDoS-ICMP_Flood/DDoS-ICMP_Flood2.pcap.csv,DDoS-ICMP_Flood,104981,13142,12906,131029,80.1204313548909,10.029840722282854,9.849727922826245,3,7
34,DDoS-ICMP_Flood/DDoS-ICMP_Flood20.pcap.csv,DDoS-ICMP_Flood,103207,13123,12888,129218,79.87045148508722,10.155705861412496,9.973842653500286,3,7
35,DDoS-ICMP_Flood/DDoS-ICMP_Flood21.pcap.csv,DDoS-ICMP_Flood,114783,14331,14366,143480,79.99930303875105,9.988151658767773,10.012545302481183,3,7
36,DDoS-ICMP_Flood/DDoS-ICMP_Flood22.pcap.csv,DDoS-ICMP_Flood,101884,12776,12817,127477,79.92343716905795,10.022200083152255,10.054362747789797,3,7
37,DDoS-ICMP_Flood/DDoS-ICMP_Flood23.pcap.csv,DDoS-ICMP_Flood,97403,12191,12082,121676,80.0511193661856,10.01923140142674,9.929649232387652,3,7
38,DDoS-ICMP_Flood/DDoS-ICMP_Flood24.pcap.csv,DDoS-ICMP_Flood,83841,10546,10481,104868,79.94907884197276,10.056451920509593,9.994469237517642,3,7
39,DDoS-ICMP_Flood/DDoS-ICMP_Flood25.pcap.csv,DDoS-ICMP_Flood,113405,14095,14046,141546,80.1188306274992,9.957893546974129,9.923275825526684,3,7
40,DDoS-ICMP_Flood/DDoS-ICMP_Flood26.pcap.csv,DDoS-ICMP_Flood,95690,11845,11804,119339,80.1833432490636,9.925506330704966,9.891150420231442,3,7
41,DDoS-ICMP_Flood/DDoS-ICMP_Flood3.pcap.csv,DDoS-ICMP_Flood,110969,13930,13609,138508,80.1173939411442,10.05718081266064,9.825425246195165,3,7
42,DDoS-ICMP_Flood/DDoS-ICMP_Flood4.pcap.csv,DDoS-ICMP_Flood,108897,13560,13509,135966,80.09134636600326,9.973081505670535,9.9355721283262,3,7
43,DDoS-ICMP_Flood/DDoS-ICMP_Flood5.pcap.csv,DDoS-ICMP_Flood,99786,12607,12401,124794,79.96057502764556,10.102248505537125,9.937176466817315,3,7
44,DDoS-ICMP_Flood/DDoS-ICMP_Flood6.pcap.csv,DDoS-ICMP_Flood,90252,11453,11268,112973,79.88811485930266,10.137820541191259,9.974064599506077,3,7
