variant,variant_label,component_isolated,alpha,scenario,outer_fold,macro_f1_benefit,energy_benefit,active_client_benefit,fairness_benefit
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,clean,1,-0.06816835019503395,0.8409808559635543,2.5,-0.08218651569648866
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,clean,2,-0.07437820407392814,0.49659213046174777,3.5,-0.046536115155459856
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,clean,3,0.00955263629616282,0.39379910055055234,4.5,-0.03157013678925685
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,clean,4,0.06398620325044435,0.5171026705625064,2.0,-0.04432713051810627
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,clean,5,0.15715276055055302,0.5740652666488941,3.5,-0.07970368322600685
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p2,1,0.09207907726646375,0.889864194507199,6.5,-0.07960158928538641
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p2,2,-0.12472729345455258,0.5247831906152332,3.5,-0.04609554314493369
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p2,3,-0.010026032893177717,0.44973942257874455,4.0,-0.03815717254698148
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p2,4,-0.06624855944501815,0.740656963158985,5.5,-0.0427681768609362
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p2,5,-0.004132080462361992,0.7475140872387129,6.5,-0.08030264221101446
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p4,1,-0.025288908828740055,0.7533600629282731,6.0,-0.07466448073137
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p4,2,-0.038593335880630304,0.5048352013409332,4.0,-0.04985342117807118
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p4,3,0.0049962982484954505,0.3341464876037694,5.0,-0.03809487701882125
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p4,4,-0.04623307445104209,0.7845502739315009,6.0,-0.05582583693688331
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,0.1,signflip_mu0p4,5,-0.0105400676134555,0.7941985377606287,3.5,-0.06711261031120169
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,labelflip_mu0p4,1,-0.1351902937793723,0.5786909817642751,1.0,-0.04189951892767213
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,labelflip_mu0p4,2,0.07693788752826371,0.6450675976212761,2.5,-0.061004699382606664
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,labelflip_mu0p4,3,0.1274683752637968,0.6423677083469634,4.5,-0.09979373406006975
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,labelflip_mu0p4,4,0.17681003734259854,0.5195707835170946,2.0,-0.0472246919503615
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,labelflip_mu0p4,5,0.052955690566369895,0.42758075524637995,1.5,-0.04909292080533323
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,signflip_mu0p2,1,-0.10418551062811232,0.6052713896799187,4.0,-0.04875818276787097
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,signflip_mu0p2,2,-0.03579569654531162,0.5017929542802211,4.5,-0.03292205747993049
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,signflip_mu0p2,3,-0.030485233742285622,0.47634499821857545,6.0,-0.06063135602691472
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,signflip_mu0p2,4,-0.04955895568565111,0.5411487074636305,3.0,-0.04969271667367109
arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,1.0,signflip_mu0p2,5,0.0410606875120792,0.7071540868525261,5.0,-0.064541252600687
