outer_fold,alpha,scenario,fl_seed,minimum_completed_round,common_horizon_round
1,0.1,clean,123,100,100
1,0.1,clean,456,100,100
1,0.1,labelflip_mu0p2,123,100,100
1,0.1,labelflip_mu0p2,456,100,100
1,0.1,labelflip_mu0p4,123,100,100
1,0.1,labelflip_mu0p4,456,100,100
1,0.1,signflip_mu0p2,123,100,100
1,0.1,signflip_mu0p2,456,100,100
1,0.1,signflip_mu0p4,123,100,100
1,0.1,signflip_mu0p4,456,96,95
1,1.0,clean,123,100,100
1,1.0,clean,456,100,100
1,1.0,labelflip_mu0p2,123,100,100
1,1.0,labelflip_mu0p2,456,100,100
1,1.0,labelflip_mu0p4,123,100,100
1,1.0,labelflip_mu0p4,456,100,100
1,1.0,signflip_mu0p2,123,100,100
1,1.0,signflip_mu0p2,456,100,100
1,1.0,signflip_mu0p4,123,100,100
1,1.0,signflip_mu0p4,456,100,100
2,0.1,clean,123,100,100
2,0.1,clean,456,100,100
2,0.1,labelflip_mu0p2,123,100,100
2,0.1,labelflip_mu0p2,456,100,100
2,0.1,labelflip_mu0p4,123,100,100
2,0.1,labelflip_mu0p4,456,100,100
2,0.1,signflip_mu0p2,123,100,100
2,0.1,signflip_mu0p2,456,100,100
2,0.1,signflip_mu0p4,123,97,95
2,0.1,signflip_mu0p4,456,100,100
2,1.0,clean,123,100,100
2,1.0,clean,456,100,100
2,1.0,labelflip_mu0p2,123,100,100
2,1.0,labelflip_mu0p2,456,100,100
2,1.0,labelflip_mu0p4,123,100,100
2,1.0,labelflip_mu0p4,456,100,100
2,1.0,signflip_mu0p2,123,100,100
2,1.0,signflip_mu0p2,456,100,100
2,1.0,signflip_mu0p4,123,98,95
2,1.0,signflip_mu0p4,456,100,100
3,0.1,clean,123,100,100
3,0.1,clean,456,100,100
3,0.1,labelflip_mu0p2,123,100,100
3,0.1,labelflip_mu0p2,456,100,100
3,0.1,labelflip_mu0p4,123,100,100
3,0.1,labelflip_mu0p4,456,100,100
3,0.1,signflip_mu0p2,123,100,100
3,0.1,signflip_mu0p2,456,100,100
3,0.1,signflip_mu0p4,123,98,95
3,0.1,signflip_mu0p4,456,100,100
3,1.0,clean,123,92,90
3,1.0,clean,456,100,100
3,1.0,labelflip_mu0p2,123,95,95
3,1.0,labelflip_mu0p2,456,100,100
3,1.0,labelflip_mu0p4,123,92,90
3,1.0,labelflip_mu0p4,456,100,100
3,1.0,signflip_mu0p2,123,94,90
3,1.0,signflip_mu0p2,456,100,100
3,1.0,signflip_mu0p4,123,93,90
3,1.0,signflip_mu0p4,456,100,100
4,0.1,clean,123,100,100
4,0.1,clean,456,100,100
4,0.1,labelflip_mu0p2,123,100,100
4,0.1,labelflip_mu0p2,456,100,100
4,0.1,labelflip_mu0p4,123,100,100
4,0.1,labelflip_mu0p4,456,100,100
4,0.1,signflip_mu0p2,123,100,100
4,0.1,signflip_mu0p2,456,100,100
4,0.1,signflip_mu0p4,123,97,95
4,0.1,signflip_mu0p4,456,100,100
4,1.0,clean,123,100,100
4,1.0,clean,456,100,100
4,1.0,labelflip_mu0p2,123,100,100
4,1.0,labelflip_mu0p2,456,100,100
4,1.0,labelflip_mu0p4,123,100,100
4,1.0,labelflip_mu0p4,456,99,95
4,1.0,signflip_mu0p2,123,100,100
4,1.0,signflip_mu0p2,456,100,100
4,1.0,signflip_mu0p4,123,99,95
4,1.0,signflip_mu0p4,456,100,100
5,0.1,clean,123,100,100
5,0.1,clean,456,100,100
5,0.1,labelflip_mu0p2,123,100,100
5,0.1,labelflip_mu0p2,456,100,100
5,0.1,labelflip_mu0p4,123,100,100
5,0.1,labelflip_mu0p4,456,100,100
5,0.1,signflip_mu0p2,123,100,100
5,0.1,signflip_mu0p2,456,100,100
5,0.1,signflip_mu0p4,123,100,100
5,0.1,signflip_mu0p4,456,94,90
5,1.0,clean,123,100,100
5,1.0,clean,456,100,100
5,1.0,labelflip_mu0p2,123,100,100
5,1.0,labelflip_mu0p2,456,100,100
5,1.0,labelflip_mu0p4,123,100,100
5,1.0,labelflip_mu0p4,456,100,100
5,1.0,signflip_mu0p2,123,100,100
5,1.0,signflip_mu0p2,456,100,100
5,1.0,signflip_mu0p4,123,100,100
5,1.0,signflip_mu0p4,456,100,100
