outer_fold,outer_test_subject,alpha,clients,window_min,window_q1,window_median,window_q3,window_max,entropy_min,entropy_q1,entropy_median,entropy_q3,entropy_max,js_divergence_median,unique_original_subjects_per_client_min,unique_original_subjects_per_client_max,largest_subject_share_per_client,partition_depends_on_fl_seed
1,101,0.1,28,131.0,314.5,424.0,569.75,908.0,0.1390639331705676,0.3368293481226704,0.46543746906231914,0.6118319044410143,0.7337166738396624,0.4701316517678322,1,1,1.0,False
1,101,1.0,28,203.0,380.25,453.5,563.0,656.0,0.6059641699894476,0.7737673859822726,0.8431568082242007,0.8948308714625024,0.9497828177486176,0.12284227815858664,1,1,1.0,False
2,102,0.1,28,168.0,322.5,424.0,556.0,908.0,0.1390639331705676,0.3555787471645155,0.4759239779882273,0.5884702765495793,0.7337166738396624,0.4600297492969363,1,1,1.0,False
2,102,1.0,28,203.0,374.0,449.5,563.0,656.0,0.6059641699894476,0.7737673859822726,0.845909157357791,0.8917011612399693,0.928179899310508,0.13274155773463459,1,1,1.0,False
3,105,0.1,28,131.0,314.5,425.5,569.75,908.0,0.1390639331705676,0.3472848660037223,0.5071952316829518,0.6118319044410143,0.716686235712586,0.436191787683437,1,1,1.0,False
3,105,1.0,28,203.0,374.0,438.0,549.75,656.0,0.6059641699894476,0.7737673859822726,0.841945448332535,0.8722551554603785,0.9497828177486176,0.13123720107809184,1,1,1.0,False
4,106,0.1,28,131.0,322.5,425.5,569.75,878.0,0.1390639331705676,0.36485521776504426,0.5390761104267914,0.6118319044410143,0.7337166738396624,0.4300062150247334,1,1,1.0,False
4,106,1.0,28,203.0,380.25,453.5,549.75,656.0,0.6059641699894476,0.7737673859822726,0.853073947803997,0.8956976994266739,0.9497828177486176,0.11737092731816329,1,1,1.0,False
5,108,0.1,28,131.0,314.5,424.0,578.5,908.0,0.1390639331705676,0.3368293481226704,0.5071952316829518,0.6118319044410143,0.7337166738396624,0.4491155417700491,1,1,1.0,False
5,108,1.0,28,203.0,379.25,453.5,563.0,644.0,0.6059641699894476,0.7737673859822726,0.841945448332535,0.8915355215795885,0.9497828177486176,0.1408530424036177,1,1,1.0,False
